"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2013,2014-03-10,"Nuggets","Hornets","212 +100","212 -110","212 -110","212 -110","212 -101","212 -110","211.5 -110","212 -110","211.5 -110","212 -110"
2013,2014-03-10,"Hornets","Nuggets","212 -110","212 -110","212 -110","212 -110","212 -109","212 -110","211.5 -110","212 -110","211.5 -110","212 -110"
2013,2014-03-10,"Wizards","Heat","205 -105","205 -110","205 -110","205 -110","205 -103","205 -110","205 -110","206 -105","205 -110","205 -110"
2013,2014-03-10,"Heat","Wizards","205 -105","205 -110","205 -110","205 -110","205 -107","205 -110","205 -110","206 -115","205 -110","205 -110"
2013,2014-03-10,"Seventysixers","Knicks","215.5 +102","215 -115","215.5 -110","215 -110","215 -105","215 -110","215.5 -110","215 -110","215.5 -110","215 -110"
2013,2014-03-10,"Knicks","Seventysixers","215.5 -113","215 -105","215.5 -110","215 -110","215 -105","215 -110","215.5 -110","215 -110","215.5 -110","215 -110"
2013,2014-03-10,"Raptors","Nets","197.5 -110","197.5 -110","197.5 -110","197.5 -110","197.5 -106","198 -110","197.5 -110","198 -110","197.5 -110","197.5 -110"
2013,2014-03-10,"Nets","Raptors","197.5 +100","197.5 -110","197.5 -110","197.5 -110","197.5 -104","198 -110","197.5 -110","198 -110","197.5 -110","197.5 -110"
2013,2014-03-10,"Hawks","Jazz","201 -103","202 -110","202 -110","201 -110","201.5 -108","201 -110","201.5 -110","201 -115","202 -110","201 -110"
2013,2014-03-10,"Jazz","Hawks","201 -107","202 -110","202 -110","201 -110","201.5 -102","201 -110","201.5 -110","201 -105","202 -110","201 -110"
2013,2014-03-10,"Magic","Bucks","202.5 -105","203 -110","203.5 -110","202.5 -110","203.5 -105","203 -110","203.5 -110","204 -110","203.5 -110",""
2013,2014-03-10,"Bucks","Magic","202.5 -105","203 -110","203.5 -110","202.5 -110","203.5 -105","203 -110","203.5 -110","204 -110","203.5 -110",""
2013,2014-03-10,"Suns","Clippers","217 +100","217.5 -110","217 -110","217.5 -113","217 -110","217.5 -110","217 -110","219 -105","217.5 -110","217.5 -110"
2013,2014-03-10,"Clippers","Suns","217 -110","217.5 -110","217 -110","217.5 -107","217 -110","217.5 -110","217 -110","219 -115","217.5 -110","217.5 -110"
