"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2006,2006-11-27,"Seventysixers","Heat","196 -108","","","196 -105","196 -110","","","197 -105","",""
2006,2006-11-27,"Heat","Seventysixers","196 -102","","","196 -105","196 -110","","","197 -115","",""
2006,2006-11-27,"Timberwolves","Mavericks","185.5 +100","","","184.5 -105","185 -110","","","186 -105","",""
2006,2006-11-27,"Mavericks","Timberwolves","185.5 -110","","","184.5 -105","185 -110","","","186 -115","",""
2006,2006-11-27,"Magic","Jazz","197.5 -106","","","198 -105","197.5 -110","","","198 -110","",""
2006,2006-11-27,"Jazz","Magic","197.5 -104","","","198 -105","197.5 -110","","","198 -110","",""
2006,2006-11-27,"Spurs","Warriors","195 -116","","","195 -105","195.5 -110","","","196 -110","",""
2006,2006-11-27,"Warriors","Spurs","195 +106","","","195 -105","195.5 -110","","","196 -110","",""
