"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2011,2012-01-03,"Hornets","Cavaliers","188.5 -105","188.5 -110","188.5 -110","188.5 -110","188.5 -105","188.5 -110","188.5 -110","189 -110","189 -110","189 -110"
2011,2012-01-03,"Cavaliers","Hornets","188.5 -105","188.5 -110","188.5 -110","188.5 -110","188.5 -105","188.5 -110","188.5 -110","189 -110","189 -110","189 -110"
2011,2012-01-03,"Trailblazers","Thunder","196.5 -105","196.5 -110","196.5 -110","197 -110","196.5 -105","197 -110","196.5 -110","196 -115","196.5 -110","196.5 -110"
2011,2012-01-03,"Thunder","Trailblazers","196.5 -105","196.5 -110","196.5 -110","197 -110","196.5 -105","197 -110","196.5 -110","196 -105","196.5 -110","196.5 -110"
2011,2012-01-03,"Kings","Grizzlies","190 -105","190 -110","190.5 -110","190 -110","190.5 -105","190 -110","190 -110","190 -110","189.5 -110","190.5 -110"
2011,2012-01-03,"Grizzlies","Kings","190 -105","190 -110","190.5 -110","190 -110","190.5 -105","190 -110","190 -110","190 -110","189.5 -110","190.5 -110"
2011,2012-01-03,"Hawks","Bulls","182 -105","182.5 -110","182.5 -110","182 -110","182.5 -101","182 -110","183 -110","182 -115","182 -110","182.5 -110"
2011,2012-01-03,"Bulls","Hawks","182 -105","182.5 -110","182.5 -110","182 -110","182.5 -109","182 -110","183 -110","182 -105","182 -110","182.5 -110"
2011,2012-01-03,"Bucks","Jazz","186 -105","186 -110","186.5 -110","186 -110","186.5 -108","186 -110","185.5 -110","186 -115","186 -110","186.5 -110"
2011,2012-01-03,"Jazz","Bucks","186 -105","186 -110","186.5 -110","186 -110","186.5 -102","186 -110","185.5 -110","186 -105","186 -110","186.5 -110"
2011,2012-01-03,"Rockets","Lakers","191 -110","191 -110","191 -115","191 -110","191.5 -103","191 -110","191 -110","191 -115","191.5 -110","191.5 -110"
2011,2012-01-03,"Lakers","Rockets","191 +100","191 -110","191 -105","191 -110","191.5 -107","191 -110","191 -110","191 -105","191.5 -110","191.5 -110"
