"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2010,2011-03-24,"Timberwolves","Mavericks","210 -109","210 -110","210.5 -109","210.5 -110","210.5 -103","210.5 -110","","210 -105","210.5 -110","210.5 -110"
2010,2011-03-24,"Mavericks","Timberwolves","210 -101","210 -110","210.5 -109","210.5 -110","210.5 -107","210.5 -110","","210 -115","210.5 -110","210.5 -110"
2010,2011-03-24,"Pelicans","Jazz","190.5 +102","190.5 -110","190.5 -109","190.5 -110","190 -107","190.5 -110","","190 -105","190.5 -110","190.5 -110"
2010,2011-03-24,"Jazz","Pelicans","190.5 -113","190.5 -110","190.5 -109","190.5 -110","190 -103","190.5 -110","","190 -115","190.5 -110","190.5 -110"
