"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2013,2014-02-26,"Magic","Seventysixers","215 -105","215 -110","215 -110","215 -110","215 -105","215 -110","215.5 -110","215 -110","215 -110","215 -110"
2013,2014-02-26,"Seventysixers","Magic","215 -105","215 -110","215 -110","215 -110","215 -105","215 -110","215.5 -110","215 -110","215 -110","215 -110"
2013,2014-02-26,"Hawks","Celtics","203.5 -103","203.5 -110","203 -110","203 -110","203 -107","203 -110","205 -110","203 -110","203 -110","203 -110"
2013,2014-02-26,"Celtics","Hawks","203.5 -107","203.5 -110","203 -110","203 -110","203 -103","203 -110","205 -110","203 -110","203 -110","203 -110"
2013,2014-02-26,"Cavaliers","Thunder","205 -105","205 -110","205 -110","205 -110","205 -105","205 -110","205.5 -110","205 -115","205 -110","205 -110"
2013,2014-02-26,"Thunder","Cavaliers","205 -105","205 -110","205 -110","205 -110","205 -105","205 -110","205.5 -110","205 -105","205 -110","205 -110"
2013,2014-02-26,"Pelicans","Mavericks","204.5 +100","205 -110","205 -110","204.5 -110","205 -102","204.5 -110","205.5 -110","205 -110","205 -110","204.5 -110"
2013,2014-02-26,"Mavericks","Pelicans","204.5 -110","205 -110","205 -110","204.5 -110","205 -108","204.5 -110","205.5 -110","205 -110","205 -110","204.5 -110"
2013,2014-02-26,"Lakers","Grizzlies","198.5 -106","198 -110","198.5 -110","198.5 -110","198.5 -108","198 -110","198.5 -110","198 -110","198 -110","198.5 -110"
2013,2014-02-26,"Grizzlies","Lakers","198.5 -104","198 -110","198.5 -110","198.5 -110","198.5 -102","198 -110","198.5 -110","198 -110","198 -110","198.5 -110"
2013,2014-02-26,"Warriors","Bulls","186.5 -101","187 -107","186.5 -110","186.5 -110","186.5 -105","186.5 -110","187 -110","187 -110","186.5 -110","186.5 -110"
2013,2014-02-26,"Bulls","Warriors","186.5 -109","187 -113","186.5 -110","186.5 -110","186.5 -105","186.5 -110","187 -110","187 -110","186.5 -110","186.5 -110"
2013,2014-02-26,"Pistons","Spurs","210 -107","210.5 -110","210.5 -110","210.5 -110","210.5 -101","210 -110","210.5 -110","210 -115","210.5 -110","210.5 -110"
2013,2014-02-26,"Spurs","Pistons","210 -103","210.5 -110","210.5 -110","210.5 -110","210.5 -109","210 -110","210.5 -110","210 -105","210.5 -110","210.5 -110"
2013,2014-02-26,"Suns","Jazz","200 +100","200 -110","200 -110","200 -110","200 -110","200 -110","201 -110","200 -115","200 -110","200 -110"
2013,2014-02-26,"Jazz","Suns","200 -110","200 -110","200 -110","200 -110","200 -110","200 -110","201 -110","200 -105","200 -110","200 -110"
2013,2014-02-26,"Nets","Trailblazers","206.5 -104","207 -108","206.5 -110","206.5 -110","206.5 -105","206.5 -110","207 -110","207 -105","206.5 -110","206.5 -110"
2013,2014-02-26,"Trailblazers","Nets","206.5 -106","207 -112","206.5 -110","206.5 -110","206.5 -105","206.5 -110","207 -110","207 -115","206.5 -110","206.5 -110"
2013,2014-02-26,"Rockets","Clippers","222 +101","222 -110","222 -110","222 -110","222 -109","222 -110","221.5 -110","223 -105","222 -110","222 -110"
2013,2014-02-26,"Clippers","Rockets","222 -111","222 -110","222 -110","222 -110","222 -101","222 -110","221.5 -110","223 -115","222 -110","222 -110"
