"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2013,2014-05-09,"Pacers","Wizards","183.5 +100","183.5 -105","183.5 -110","183.5 -110","183.5 -105","184 -110","184 -110","184 -115","184 -110","183.5 -110"
2013,2014-05-09,"Wizards","Pacers","183.5 -110","183.5 -115","183.5 -110","183.5 -110","183.5 -105","184 -110","184 -110","184 -105","184 -110","183.5 -110"
2013,2014-05-09,"Thunder","Clippers","214 -105","214 -110","214.5 -115","214 -110","214 -109","214.5 -110","214.5 -110","215 -110","214.5 -110","214 -110"
2013,2014-05-09,"Clippers","Thunder","214 -105","214 -110","214.5 -105","214 -110","214 -101","214.5 -110","214.5 -110","215 -110","214.5 -110","214 -110"
