"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2012,2013-03-02,"Warriors","Seventysixers","197 -108","197.5 -110","197.5 -110","197.5 -110","197.5 -102","197.5 -110","198 -110","198 -110","197.5 -110","197.5 -110"
2012,2013-03-02,"Seventysixers","Warriors","197 -102","197.5 -110","197.5 -110","197.5 -110","197.5 -108","197.5 -110","198 -110","198 -110","197.5 -110","197.5 -110"
2012,2013-03-02,"Nets","Bulls","177.5 -110","177.5 -110","177.5 -110","177.5 -110","177.5 -106","177.5 -110","178 -110","178 -110","177.5 -110","177.5 -110"
2012,2013-03-02,"Bulls","Nets","177.5 +100","177.5 -110","177.5 -110","177.5 -110","177.5 -104","177.5 -110","178 -110","178 -110","177.5 -110","177.5 -110"
2012,2013-03-02,"Raptors","Bucks","199 +102","199 -110","199 -110","199 -110","199 -101","199 -110","199.5 -110","200 -105","199.5 -110","199 -110"
2012,2013-03-02,"Bucks","Raptors","199 -113","199 -110","199 -110","199 -110","199 -109","199 -110","199.5 -110","200 -115","199.5 -110","199 -110"
2012,2013-03-02,"Timberwolves","Trailblazers","197.5 -111","197.5 -110","197 -110","197.5 -110","198 -103","198 -110","198 -110","198 -110","198 -110","197.5 -110"
2012,2013-03-02,"Trailblazers","Timberwolves","197.5 +101","197.5 -110","197 -110","197.5 -110","198 -107","198 -110","198 -110","198 -110","198 -110","197.5 -110"
