"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2006,2007-03-15,"Heat","Nets","188 -103","","","188 -105","187.5 -110","","","96 -110","",""
2006,2007-03-15,"Nets","Heat","188 -107","","","188 -105","187.5 -110","","","96 -110","",""
2006,2007-03-15,"Spurs","Bucks","190 -101","","","190.5 -105","190.5 -110","","","95.5 -110","",""
2006,2007-03-15,"Bucks","Spurs","190 -109","","","190.5 -105","190.5 -110","","","95.5 -110","",""
2006,2007-03-15,"Lakers","Nuggets","212 -108","","","212.5 -105","212.5 -110","","","106 -130","",""
2006,2007-03-15,"Nuggets","Lakers","212 -102","","","212.5 -105","212.5 -110","","","106 +110","",""
