"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2016,2016-10-08,"Hornets","Celtics","198 -108","","198 -110","198 -110","198 -110","198 -110","198 -110","198 -115","198 -110","198 -110"
2016,2016-10-08,"Celtics","Hornets","198 -108","","198 -110","198 -110","198 -110","198 -110","198 -110","198 -105","198 -110","198 -110"
2016,2016-10-08,"Nets","Knicks","200.5 -108","","200.5 -110","200 -110","200.5 -110","200 -110","200 -110","200 -110","200 -110","200 -110"
2016,2016-10-08,"Knicks","Nets","200.5 -108","","200.5 -110","200 -110","200.5 -110","200 -110","200 -110","200 -110","200 -110","200 -110"
2016,2016-10-08,"Seventysixers","Cavaliers","200 -107","","200 -110","200 -110","199.5 -110","200 -110","200 -110","200 -105","199.5 -110","200 -110"
2016,2016-10-08,"Cavaliers","Seventysixers","200 -109","","200 -110","200 -110","199.5 -110","200 -110","200 -110","200 -115","199.5 -110","200 -110"
2016,2016-10-08,"Pacers","Bulls","207.5 -106","","207.5 -110","207 -110","207.5 -110","207 -110","207 -110","207 -110","207 -110","207 -110"
2016,2016-10-08,"Bulls","Pacers","207.5 -110","","207.5 -110","207 -110","207.5 -110","207 -110","207 -110","207 -110","207 -110","207 -110"
2016,2016-10-08,"Timberwolves","Heat","197 -108","","197.5 -110","197.5 -110","197 -110","197.5 -110","197.5 -110","197 -115","196.5 -110","197.5 -110"
2016,2016-10-08,"Heat","Timberwolves","197 -108","","197.5 -110","197.5 -110","197 -110","197.5 -110","197.5 -110","197 -105","196.5 -110","197.5 -110"
2016,2016-10-08,"Mavericks","Bucks","193.5 -129","","195 -110","195 -110","194.5 -110","195 -110","194.5 -110","194 -115","194.5 -110","195 -110"
2016,2016-10-08,"Bucks","Mavericks","193.5 +110","","195 -110","195 -110","194.5 -110","195 -110","194.5 -110","194 -105","194.5 -110","195 -110"
2016,2016-10-08,"Hawks","Spurs","189.5 -108","","189.5 -110","189 -110","189.5 -110","189 -110","189.5 -110","189 -115","189.5 -110","189 -110"
2016,2016-10-08,"Spurs","Hawks","189.5 -108","","189.5 -110","189 -110","189.5 -110","189 -110","189.5 -110","189 -105","189.5 -110","189 -110"
