"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2006,2007-02-09,"Spurs","Magic","181.5 -105","","","181.5 -110","181.5 -110","","","182 -105","",""
2006,2007-02-09,"Magic","Spurs","181.5 -105","","","181.5 -110","181.5 -110","","","182 -115","",""
2006,2007-02-09,"Nuggets","Pacers","206 -102","","","206.5 -110","206.5 -110","","","206 -115","",""
2006,2007-02-09,"Pacers","Nuggets","206 -108","","","206.5 -110","206.5 -110","","","206 -105","",""
2006,2007-02-09,"Trailblazers","Hornets","185 +100","","","185 -110","185 -110","","","185 -110","",""
2006,2007-02-09,"Hornets","Trailblazers","185 -110","","","185 -110","185 -110","","","185 -110","",""
2006,2007-02-09,"Lakers","Raptors","205 -110","","","205 -110","205 -110","","","206 -110","",""
2006,2007-02-09,"Raptors","Lakers","205 +100","","","205 -110","205 -110","","","206 -110","",""
2006,2007-02-09,"Clippers","Seventysixers","190 +100","","","189.5 -110","189.5 -110","","","190 -105","",""
2006,2007-02-09,"Seventysixers","Clippers","190 -110","","","189.5 -110","189.5 -110","","","190 -115","",""
2006,2007-02-09,"Nets","Celtics","188 -102","","","188 -110","187.5 -110","","","188 -105","",""
2006,2007-02-09,"Celtics","Nets","188 -108","","","188 -110","187.5 -110","","","188 -115","",""
2006,2007-02-09,"Timberwolves","Grizzlies","213 -106","","","213 -110","213.5 -110","","","213 -110","",""
2006,2007-02-09,"Grizzlies","Timberwolves","213 -104","","","213 -110","213.5 -110","","","213 -110","",""
2006,2007-02-09,"Heat","Cavaliers","193 +113","","","192.5 -110","192.5 -110","","","193 -110","",""
2006,2007-02-09,"Cavaliers","Heat","193 -123","","","192.5 -110","192.5 -110","","","193 -110","",""
2006,2007-02-09,"Rockets","Mavericks","185 -109","","","184.5 -110","185 -110","","","185 -110","",""
2006,2007-02-09,"Mavericks","Rockets","185 -101","","","184.5 -110","185 -110","","","185 -110","",""
2006,2007-02-09,"Hawks","Suns","200 -109","","","200.5 -110","200 -110","","","201 -110","",""
2006,2007-02-09,"Suns","Hawks","200 -101","","","200.5 -110","200 -110","","","201 -110","",""
2006,2007-02-09,"Bulls","Warriors","204.5 +110","","","205.5 -110","204 -110","","","204 -110","",""
2006,2007-02-09,"Warriors","Bulls","204.5 -120","","","205.5 -110","204 -110","","","204 -110","",""
