"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2006,2006-11-29,"Knicks","Cavaliers","195.5 -106","","","195.5 -105","195.5 -110","","","195 -115","",""
2006,2006-11-29,"Cavaliers","Knicks","195.5 -104","","","195.5 -105","195.5 -110","","","195 -105","",""
2006,2006-11-29,"Hornets","Hawks","187 -112","","","187 -105","187 -110","","","187 -110","",""
2006,2006-11-29,"Hawks","Hornets","187 +102","","","187 -105","187 -110","","","187 -110","",""
2006,2006-11-29,"Nets","Celtics","194 -104","","","194 -105","194 -110","","","194 -110","",""
2006,2006-11-29,"Celtics","Nets","194 -106","","","194 -105","194 -110","","","194 -110","",""
2006,2006-11-29,"Raptors","Mavericks","192.5 -103","","","192.5 -105","193 -110","","","193 -115","",""
2006,2006-11-29,"Mavericks","Raptors","192.5 -107","","","192.5 -105","193 -110","","","193 -105","",""
2006,2006-11-29,"Spurs","Jazz","190.5 -104","","","190.5 -105","190 -110","","","190 -115","",""
2006,2006-11-29,"Jazz","Spurs","190.5 -106","","","190.5 -105","190 -110","","","190 -105","",""
2006,2006-11-29,"Rockets","Suns","196.5 -116","","","196.5 -105","196.5 -110","","","197 -105","",""
2006,2006-11-29,"Suns","Rockets","196.5 +106","","","196.5 -105","196.5 -110","","","197 -115","",""
2006,2006-11-29,"Pacers","Warriors","205.5 -103","","","206 -105","205.5 -110","","","206 -115","",""
2006,2006-11-29,"Warriors","Pacers","205.5 -107","","","206 -105","205.5 -110","","","206 -105","",""
2006,2006-11-29,"Grizzlies","Clippers","182 -109","","","182 -105","182 -110","","","182 -115","",""
2006,2006-11-29,"Clippers","Grizzlies","182 -101","","","182 -105","182 -110","","","182 -105","",""
