"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2016,2016-12-01,"Mavericks","Hornets","194 +102","193.5 -110","193 -110","192.5 -110","193.5 -110","192.5 -110","192.5 -105","193 -110","193.5 -110","192.5 -110"
2016,2016-12-01,"Hornets","Mavericks","194 -113","193.5 -110","193 -110","192.5 -110","193.5 -110","192.5 -110","192.5 -105","193 -110","193.5 -110","192.5 -110"
2016,2016-12-01,"Bucks","Nets","215.5 -110","215 -110","215.5 -110","215 -110","215 -110","215 -110","215 -105","215 -110","215.5 -110","215 -110"
2016,2016-12-01,"Nets","Bucks","215.5 -100","215 -110","215.5 -110","215 -110","215 -110","215 -110","215 -105","215 -110","215.5 -110","215 -110"
2016,2016-12-01,"Clippers","Cavaliers","215.5 -108","215.5 -115","215.5 -110","215.5 -110","215.5 -110","215.5 -110","216 -105","216 -105","215.5 -110","215.5 -110"
2016,2016-12-01,"Cavaliers","Clippers","215.5 -102","215.5 -105","215.5 -110","215.5 -110","215.5 -110","215.5 -110","216 -105","216 -115","215.5 -110","215.5 -110"
2016,2016-12-01,"Magic","Grizzlies","190.5 -105","190.5 -110","190.5 -110","191.5 -110","190.5 -105","190.5 -110","190.5 -105","189 -115","190.5 -110","191.5 -110"
2016,2016-12-01,"Grizzlies","Magic","190.5 -105","190.5 -110","190.5 -110","191.5 -110","190.5 -105","190.5 -110","190.5 -105","189 -105","190.5 -110","191.5 -110"
2016,2016-12-01,"Heat","Jazz","187 -105","186.5 -110","187 -110","186.5 -110","187 -105","186.5 -110","186.5 -105","187 -105","186.5 -110","186.5 -110"
2016,2016-12-01,"Jazz","Heat","187 -105","186.5 -110","187 -110","186.5 -110","187 -105","186.5 -110","186.5 -105","187 -115","186.5 -110","186.5 -110"
2016,2016-12-01,"Rockets","Warriors","232 -105","232 -125","232.5 -110","232.5 -110","232.5 -110","232.5 -110","233 -105","233 -110","232.5 -110","232.5 -110"
2016,2016-12-01,"Warriors","Rockets","232 -105","232 +105","232.5 -110","232.5 -110","232.5 -110","232.5 -110","233 -105","233 -110","232.5 -110","232.5 -110"
