"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2007,2008-04-19,"Wizards","Cavaliers","187.5 -101","187 -110","","187 -110","187.5 -105","187 -110","","187 -115","","187 -110"
2007,2008-04-19,"Cavaliers","Wizards","187.5 -109","187 -110","","187 -110","187.5 -105","187 -110","","187 -105","","187 -110"
2007,2008-04-19,"Suns","Spurs","192.5 -102","192.5 -110","","192.5 -110","192.5 +100","192.5 -110","","193 -105","","192.5 -110"
2007,2008-04-19,"Spurs","Suns","192.5 -108","192.5 -110","","192.5 -110","192.5 -110","192.5 -110","","193 -115","","192.5 -110"
2007,2008-04-19,"Mavericks","Pelicans","192 -110","192 -110","","191.5 -110","192 -109","191.5 -110","","193 -105","","192 -110"
2007,2008-04-19,"Pelicans","Mavericks","192 +100","192 -110","","191.5 -110","192 -101","191.5 -110","","193 -115","","192 -110"
2007,2008-04-19,"Jazz","Rockets","185 +103","184.5 -110","","184 -110","184.5 -107","184 -110","","185 -110","","184.5 -110"
2007,2008-04-19,"Rockets","Jazz","185 -113","184.5 -110","","184 -110","184.5 -103","184 -110","","185 -110","","184.5 -110"
