"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2013,2013-10-31,"Knicks","Bulls","187.5 -105","188 -110","187.5 -110","188 -110","188 -105","188 -110","188 -110","188 -115","188 -110","188 -110"
2013,2013-10-31,"Bulls","Knicks","187.5 -105","188 -110","187.5 -110","188 -110","188 -105","188 -110","188 -110","188 -105","188 -110","188 -110"
2013,2013-10-31,"Warriors","Clippers","205.5 +100","206 -110","205.5 -110","205.5 -110","205.5 -105","206 -110","206 -110","207 -110","206 -110","205.5 -110"
2013,2013-10-31,"Clippers","Warriors","205.5 -110","206 -110","205.5 -110","205.5 -110","205.5 -105","206 -110","206 -110","207 -110","206 -110","205.5 -110"
