"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2002,2002-10-29,"home",0,"Kings",94,0,0,NA,12,21,10,33,15,48,19,19,80,36,15,6,23,16,38,18,"19-25-22-28",28,"Cavaliers",67,0,0,NA,7,14,5,29,17,46,20,20,83,27,4,1,20,12,26,10,"14-18-10-25",4,0,0,NA,5,12,24,200.5,-13
2002,2002-10-29,"away",0,"Cavaliers",67,0,0,NA,7,14,5,29,17,46,20,20,83,27,4,1,20,12,26,10,"14-18-10-25",4,"Kings",94,0,0,NA,12,21,10,33,15,48,19,19,80,36,15,6,23,16,38,18,"19-25-22-28",28,0,0,NA,-5,-12,-24,200.5,13
2002,2002-10-29,"home",0,"Lakers",82,0,0,NA,10,16,5,31,17,48,18,34,85,27,13,4,30,24,30,18,"18-23-21-20",4,"Spurs",87,0,0,NA,15,15,11,41,11,52,20,26,71,26,10,3,46,32,40,15,"24-17-24-22",10,0,0,NA,-6,0,-3,184.5,3
2002,2002-10-29,"away",0,"Spurs",87,0,0,NA,15,15,11,41,11,52,20,26,71,26,10,3,46,32,40,15,"24-17-24-22",10,"Lakers",82,0,0,NA,10,16,5,31,17,48,18,34,85,27,13,4,30,24,30,18,"18-23-21-20",4,0,0,NA,6,0,3,184.5,-3
2002,2002-10-29,"home",0,"Magic",95,0,0,NA,4,24,8,31,8,39,15,26,81,36,18,6,22,17,34,15,"29-22-23-21",11,"Seventysixers",88,0,0,NA,10,19,1,35,11,46,20,22,78,31,8,2,32,24,42,18,"30-21-22-15",9,0,0,NA,-1,0,1,190,-5
2002,2002-10-29,"away",0,"Seventysixers",88,0,0,NA,10,19,1,35,11,46,20,22,78,31,8,2,32,24,42,18,"30-21-22-15",9,"Magic",95,0,0,NA,4,24,8,31,8,39,15,26,81,36,18,6,22,17,34,15,"29-22-23-21",11,0,0,NA,1,0,-1,190,5
2002,2002-10-30,"home",0,"Celtics",96,0,0,NA,8,25,0,30,7,37,15,23,77,36,24,8,23,16,42,8,"32-19-33-12",13,"Bulls",99,0,0,NA,6,29,5,35,12,47,17,19,78,39,16,6,25,15,40,12,"26-19-35-19",7,0,0,NA,6,6,4,193,-9.5
2002,2002-10-30,"away",0,"Bulls",99,0,0,NA,6,29,5,35,12,47,17,19,78,39,16,6,25,15,40,12,"26-19-35-19",7,"Celtics",96,0,0,NA,8,25,0,30,7,37,15,23,77,36,24,8,23,16,42,8,"32-19-33-12",13,0,0,NA,-6,-6,-4,193,9.5
2002,2002-10-30,"home",0,"Clippers",96,0,0,NA,4,22,9,28,11,39,17,23,75,38,13,5,21,15,50,13,"22-26-22-26",9,"Cavaliers",98,0,1,0,10,21,5,28,19,47,10,19,84,36,1,0,37,26,40,10,"17-28-25-28",6,0,0,NA,5,3,0,184,-11.5
2002,2002-10-30,"away",0,"Cavaliers",98,0,1,0,10,21,5,28,19,47,10,19,84,36,1,0,37,26,40,10,"17-28-25-28",6,"Clippers",96,0,0,NA,4,22,9,28,11,39,17,23,75,38,13,5,21,15,50,13,"22-26-22-26",9,0,0,NA,-5,-3,0,184,11.5
2002,2002-10-30,"home",0,"Grizzlies",108,0,0,NA,9,28,3,34,6,40,21,18,77,43,21,5,32,17,62,20,"23-31-26-28",2,"Mavericks",119,0,0,NA,11,32,3,33,13,46,13,25,95,47,24,10,20,15,56,23,"31-33-36-19",21,0,0,NA,-8,-10,-20,201,7
2002,2002-10-30,"away",0,"Mavericks",119,0,0,NA,11,32,3,33,13,46,13,25,95,47,24,10,20,15,56,23,"31-33-36-19",21,"Grizzlies",108,0,0,NA,9,28,3,34,6,40,21,18,77,43,21,5,32,17,62,20,"23-31-26-28",2,0,0,NA,8,10,20,201,-7
2002,2002-10-30,"home",0,"Heat",86,0,0,NA,4,20,6,26,8,34,10,17,78,36,5,1,17,13,38,14,"30-15-24-17",8,"Magic",100,1,0,0,5,22,2,29,9,38,13,19,71,39,12,8,21,14,40,14,"24-30-26-20",21,0,0,NA,6,-9,-11,180,3.5
