"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2014,2014-10-28,"home",0,"Lakers",90,0,0,NA,7,16,3,25,11,36,11,32,79,28,10,3,39,31,40,13,"19-26-24-21",1,"Rockets",108,0,0,NA,7,22,3,33,14,47,13,30,73,31,29,12,50,34,34,22,"31-31-23-23",27,0,0,"2",-12,-17,-16,207,7
2014,2014-10-28,"away",0,"Rockets",108,0,0,NA,7,22,3,33,14,47,13,30,73,31,29,12,50,34,34,22,"31-31-23-23",27,"Lakers",90,0,0,NA,7,16,3,25,11,36,11,32,79,28,10,3,39,31,40,13,"19-26-24-21",1,0,0,"2",12,17,16,207,-7
2014,2014-10-28,"home",0,"Pelicans",101,0,0,NA,10,20,17,36,26,62,9,17,101,41,17,4,31,15,64,17,"24-24-30-23",23,"Magic",84,0,0,NA,5,17,9,40,16,56,18,25,84,32,11,4,21,16,48,10,"25-16-23-20",6,0,0,"7",-1,7,14,192,-10
2014,2014-10-28,"away",0,"Magic",84,0,0,NA,5,17,9,40,16,56,18,25,84,32,11,4,21,16,48,10,"25-16-23-20",6,"Pelicans",101,0,0,NA,10,20,17,36,26,62,9,17,101,41,17,4,31,15,64,17,"24-24-30-23",23,0,0,"7",1,-7,-14,192,10
2014,2014-10-28,"home",0,"Spurs",101,0,0,NA,5,23,3,29,9,38,20,20,70,37,28,14,16,13,32,7,"26-19-31-25",10,"Mavericks",100,0,0,NA,9,17,3,24,9,33,10,20,78,38,21,8,19,16,24,8,"24-29-20-27",10,0,0,"18",2,-8,3,203,-3.5
2014,2014-10-28,"away",0,"Mavericks",100,0,0,NA,9,17,3,24,9,33,10,20,78,38,21,8,19,16,24,8,"24-29-20-27",10,"Spurs",101,0,0,NA,5,23,3,29,9,38,20,20,70,37,28,14,16,13,32,7,"26-19-31-25",10,0,0,"18",-2,8,-3,203,3.5
2014,2014-10-29,"home",0,"Celtics",121,0,0,NA,11,28,5,26,9,35,12,25,88,49,22,8,23,15,62,11,"32-35-34-20",29,"Nets",105,0,0,NA,6,20,7,30,9,39,20,21,80,39,19,7,26,20,40,11,"23-18-31-33",2,0,0,"1",9,26,29,193,0
2014,2014-10-29,"away",0,"Nets",105,0,0,NA,6,20,7,30,9,39,20,21,80,39,19,7,26,20,40,11,"23-18-31-33",2,"Celtics",121,0,0,NA,11,28,5,26,9,35,12,25,88,49,22,8,23,15,62,11,"32-35-34-20",29,0,0,"1",-9,-26,-29,193,0
2014,2014-10-29,"home",0,"Grizzlies",105,0,0,NA,10,21,5,23,10,33,17,21,82,43,15,4,20,15,58,13,"25-28-28-24",10,"Timberwolves",101,0,0,NA,8,20,4,28,19,47,23,21,86,39,12,6,23,17,34,15,"27-20-27-27",5,0,0,"7",-2,6,7,197,-7.5
2014,2014-10-29,"away",0,"Timberwolves",101,0,0,NA,8,20,4,28,19,47,23,21,86,39,12,6,23,17,34,15,"27-20-27-27",5,"Grizzlies",105,0,0,NA,10,21,5,23,10,33,17,21,82,43,15,4,20,15,58,13,"25-28-28-24",10,0,0,"7",2,-6,-7,197,7.5
2014,2014-10-29,"home",0,"Heat",107,0,0,NA,9,20,3,32,12,44,14,17,81,39,28,9,23,20,44,12,"22-31-19-35",12,"Wizards",95,0,0,NA,7,20,2,29,7,36,14,20,75,36,19,6,24,17,42,15,"28-24-18-25",6,0,0,"16",-6,1,2,190,-4.5
2014,2014-10-29,"away",0,"Wizards",95,0,0,NA,7,20,2,29,7,36,14,20,75,36,19,6,24,17,42,15,"28-24-18-25",6,"Heat",107,0,0,NA,9,20,3,32,12,44,14,17,81,39,28,9,23,20,44,12,"22-31-19-35",12,0,0,"16",6,-1,-2,190,4.5
2014,2014-10-29,"home",0,"Hornets",108,0,0,NA,8,27,9,35,15,50,10,20,101,41,21,6,29,20,40,17,"25-21-22-32-8",4,"Bucks",106,0,0,NA,9,25,10,32,3,35,14,25,80,39,14,7,24,21,38,16,"24-33-26-17-6",24,0,0,"7",1,-11,-15,193,-8
2014,2014-10-29,"away",0,"Bucks",106,0,0,NA,9,25,10,32,3,35,14,25,80,39,14,7,24,21,38,16,"24-33-26-17-6",24,"Hornets",108,0,0,NA,8,27,9,35,15,50,10,20,101,41,21,6,29,20,40,17,"25-21-22-32-8",4,0,0,"7",-1,11,15,193,8
2014,2014-10-29,"home",0,"Jazz",93,0,0,NA,8,16,6,21,13,34,13,16,81,38,18,3,17,14,62,17,"27-23-22-21",6,"Rockets",104,1,0,0,7,18,6,27,8,35,18,23,77,40,27,14,14,10,44,18,"27-31-17-29",16,0,0,"7",0,-8,-3,201,3.5
2014,2014-10-29,"away",0,"Rockets",104,1,0,0,7,18,6,27,8,35,18,23,77,40,27,14,14,10,44,18,"27-31-17-29",16,"Jazz",93,0,0,NA,8,16,6,21,13,34,13,16,81,38,18,3,17,14,62,17,"27-23-22-21",6,0,0,"7",0,8,3,201,-3.5
2014,2014-10-29,"home",0,"Kings",77,0,0,NA,11,13,3,35,15,50,26,26,78,24,18,3,35,26,36,13,"23-26-14-14",6,"Warriors",95,0,0,NA,12,21,8,37,7,44,22,32,75,33,27,6,32,23,40,21,"25-22-26-22",18,0,0,"15",-2,2,-10,206,4.5
2014,2014-10-29,"away",0,"Warriors",95,0,0,NA,12,21,8,37,7,44,22,32,75,33,27,6,32,23,40,21,"25-22-26-22",18,"Kings",77,0,0,NA,11,13,3,35,15,50,26,26,78,24,18,3,35,26,36,13,"23-26-14-14",6,0,0,"15",2,-2,10,206,-4.5
2014,2014-10-29,"home",0,"Knicks",80,0,0,NA,9,19,5,24,14,38,11,22,85,31,17,3,17,15,28,8,"20-23-17-20",6,"Bulls",104,0,0,NA,9,21,4,37,10,47,15,18,71,36,24,7,30,25,42,14,"24-29-31-20",35,0,0,"1",-4,-10,-24,185,4.5
2014,2014-10-29,"away",0,"Bulls",104,0,0,NA,9,21,4,37,10,47,15,18,71,36,24,7,30,25,42,14,"24-29-31-20",35,"Knicks",80,0,0,NA,9,19,5,24,14,38,11,22,85,31,17,3,17,15,28,8,"20-23-17-20",6,0,0,"1",4,10,24,185,-4.5
2014,2014-10-29,"home",0,"Nuggets",89,0,0,NA,7,17,4,37,14,51,15,21,85,30,24,6,31,23,34,11,"23-19-23-24",10,"Pistons",79,0,0,NA,4,15,5,37,8,45,15,27,84,31,26,6,19,11,38,6,"21-19-23-16",6,0,0,"18",2,2,2,206,-7
