"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2013,2013-10-29,"home",0,"Heat",107,0,0,NA,10,26,7,35,5,40,18,21,72,37,20,11,29,22,34,10,"17-37-24-29",25,"Bulls",95,0,0,NA,11,23,4,30,11,41,18,27,83,35,26,7,23,18,50,17,"15-18-25-37",7,0,0,"2",2,21,20,187.5,-5.5
2013,2013-10-29,"away",0,"Bulls",95,0,0,NA,11,23,4,30,11,41,18,27,83,35,26,7,23,18,50,17,"15-18-25-37",7,"Heat",107,0,0,NA,10,26,7,35,5,40,18,21,72,37,20,11,29,22,34,10,"17-37-24-29",25,0,0,"2",-2,-21,-20,187.5,5.5
2013,2013-10-29,"home",0,"Lakers",116,0,0,NA,8,23,6,34,18,52,19,23,93,42,29,14,28,18,42,13,"28-27-20-41",17,"Clippers",103,0,0,NA,11,27,4,30,10,40,16,21,83,41,21,8,23,13,48,19,"30-27-22-24",8,0,0,"14",-2,-2,-4,199.5,8.5
2013,2013-10-29,"away",0,"Clippers",103,0,0,NA,11,27,4,30,10,40,16,21,83,41,21,8,23,13,48,19,"30-27-22-24",8,"Lakers",116,0,0,NA,8,23,6,34,18,52,19,23,93,42,29,14,28,18,42,13,"28-27-20-41",17,0,0,"14",2,2,4,199.5,-8.5
2013,2013-10-29,"home",0,"Pacers",97,0,0,NA,4,17,18,34,10,44,20,13,71,34,17,7,32,22,36,13,"23-17-29-28",19,"Magic",87,0,0,NA,10,17,6,26,13,39,17,26,93,36,19,9,10,6,34,10,"18-26-20-23",4,0,0,"12",5,-4,5,188.5,-11.5
2013,2013-10-29,"away",0,"Magic",87,0,0,NA,10,17,6,26,13,39,17,26,93,36,19,9,10,6,34,10,"18-26-20-23",4,"Pacers",97,0,0,NA,4,17,18,34,10,44,20,13,71,34,17,7,32,22,36,13,"23-17-29-28",19,0,0,"12",-5,4,-5,188.5,11.5
2013,2013-10-30,"home",0,"Cavaliers",98,0,0,NA,7,21,3,32,16,48,11,20,84,35,15,5,34,23,34,11,"27-22-30-19",10,"Nets",94,0,0,NA,8,24,8,28,9,37,15,27,82,33,24,9,24,19,30,12,"26-22-22-24",10,0,0,"13",1,1,9,194.5,3
2013,2013-10-30,"away",0,"Nets",94,0,0,NA,8,24,8,28,9,37,15,27,82,33,24,9,24,19,30,12,"26-22-22-24",10,"Cavaliers",98,0,0,NA,7,21,3,32,16,48,11,20,84,35,15,5,34,23,34,11,"27-22-30-19",10,0,0,"13",-1,-1,-9,194.5,-3
2013,2013-10-30,"home",0,"Jazz",98,0,0,NA,6,25,5,34,10,44,22,28,79,36,22,6,30,20,56,14,"29-19-25-25",7,"Thunder",101,0,0,NA,15,9,4,35,10,45,13,24,81,33,19,6,33,29,32,25,"29-28-24-20",15,0,0,"11",0,-9,-8,192.5,6
2013,2013-10-30,"away",0,"Thunder",101,0,0,NA,15,9,4,35,10,45,13,24,81,33,19,6,33,29,32,25,"29-28-24-20",15,"Jazz",98,0,0,NA,6,25,5,34,10,44,22,28,79,36,22,6,30,20,56,14,"29-19-25-25",7,0,0,"11",0,9,8,192.5,-6
2013,2013-10-30,"home",0,"Kings",90,0,0,NA,8,13,7,30,11,41,14,26,81,33,21,8,23,16,40,11,"25-23-22-20",13,"Nuggets",88,0,0,NA,3,19,11,33,8,41,18,21,79,34,15,5,17,15,38,23,"22-23-27-16",4,0,0,"7",3,3,-2,204,-2.5
2013,2013-10-30,"away",0,"Nuggets",88,0,0,NA,3,19,11,33,8,41,18,21,79,34,15,5,17,15,38,23,"22-23-27-16",4,"Kings",90,0,0,NA,8,13,7,30,11,41,14,26,81,33,21,8,23,16,40,11,"25-23-22-20",13,0,0,"7",-3,-3,2,204,2.5
2013,2013-10-30,"home",0,"Knicks",90,0,0,NA,12,17,6,28,6,34,22,16,71,36,13,3,17,15,50,24,"24-32-18-16",25,"Bucks",83,0,0,NA,10,19,4,26,5,31,23,22,74,34,16,5,12,10,28,10,"18-13-33-19",1,0,0,"2",6,25,10,196,-7.5
2013,2013-10-30,"away",0,"Bucks",83,0,0,NA,10,19,4,26,5,31,23,22,74,34,16,5,12,10,28,10,"18-13-33-19",1,"Knicks",90,0,0,NA,12,17,6,28,6,34,22,16,71,36,13,3,17,15,50,24,"24-32-18-16",25,0,0,"2",-6,-25,-10,196,7.5
2013,2013-10-30,"home",0,"Mavericks",118,0,0,NA,7,31,2,35,7,42,20,22,77,44,24,11,24,19,38,19,"33-20-33-32",16,"Hawks",109,0,0,NA,16,27,5,28,5,33,17,20,76,37,24,8,35,27,42,20,"28-27-24-30",3,0,0,"11",5,-2,7,196.5,-6
2013,2013-10-30,"away",0,"Hawks",109,0,0,NA,16,27,5,28,5,33,17,20,76,37,24,8,35,27,42,20,"28-27-24-30",3,"Mavericks",118,0,0,NA,7,31,2,35,7,42,20,22,77,44,24,11,24,19,38,19,"33-20-33-32",16,0,0,"11",-5,2,-7,196.5,6
2013,2013-10-30,"home",0,"Pelicans",90,0,0,NA,7,17,5,28,15,43,15,29,85,34,11,5,21,17,32,13,"24-26-16-24",16,"Pacers",95,1,0,0,5,19,12,31,6,37,16,18,70,30,23,10,30,25,32,5,"14-22-23-36",6,0,0,"5",10,14,7,187.5,0
2013,2013-10-30,"away",0,"Pacers",95,1,0,0,5,19,12,31,6,37,16,18,70,30,23,10,30,25,32,5,"14-22-23-36",6,"Pelicans",90,0,0,NA,7,17,5,28,15,43,15,29,85,34,11,5,21,17,32,13,"24-26-16-24",16,0,0,"5",-10,-14,-7,187.5,0
2013,2013-10-30,"home",0,"Pistons",113,0,0,NA,6,24,4,32,12,44,18,27,78,39,24,9,33,26,56,13,"25-30-26-32",15,"Wizards",102,0,0,NA,5,23,3,25,13,38,16,30,78,34,25,10,32,24,28,9,"22-21-30-29",5,0,0,"3",3,12,8,190,-2.5
2013,2013-10-30,"away",0,"Wizards",102,0,0,NA,5,23,3,25,13,38,16,30,78,34,25,10,32,24,28,9,"22-21-30-29",5,"Pistons",113,0,0,NA,6,24,4,32,12,44,18,27,78,39,24,9,33,26,56,13,"25-30-26-32",15,0,0,"3",-3,-12,-8,190,2.5
2013,2013-10-30,"home",0,"Raptors",93,0,0,NA,9,15,6,29,19,48,17,25,86,38,17,5,23,12,44,11,"21-28-22-22",16,"Celtics",87,0,0,NA,10,15,7,26,7,33,22,27,66,32,13,3,29,20,40,12,"26-11-34-16",6,0,0,"5",-5,12,0,189.5,-8
2013,2013-10-30,"away",0,"Celtics",87,0,0,NA,10,15,7,26,7,33,22,27,66,32,13,3,29,20,40,12,"26-11-34-16",6,"Raptors",93,0,0,NA,9,15,6,29,19,48,17,25,86,38,17,5,23,12,44,11,"21-28-22-22",16,0,0,"5",5,-12,0,189.5,8
2013,2013-10-30,"home",0,"Rockets",96,0,0,NA,4,17,6,40,14,54,18,16,76,36,25,9,24,15,46,7,"17-28-22-29",14,"Hornets",83,0,0,NA,8,14,6,25,12,37,7,21,90,33,10,4,20,13,42,15,"19-20-22-22",6,0,0,"5",-2,6,6,202,-12.5
