"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2006,2006-10-31,"home",0,"Heat",66,0,0,NA,6,13,3,25,4,29,21,24,65,25,17,3,22,13,26,6,"16-14-21-15",2,"Bulls",108,0,0,NA,10,22,5,36,13,49,16,21,79,39,13,7,32,23,36,21,"22-37-21-28",42,0,0,NA,-6,-29,-29,189,-4.5
2006,2006-10-31,"away",0,"Bulls",108,0,0,NA,10,22,5,36,13,49,16,21,79,39,13,7,32,23,36,21,"22-37-21-28",42,"Heat",66,0,0,NA,6,13,3,25,4,29,21,24,65,25,17,3,22,13,26,6,"16-14-21-15",2,0,0,NA,6,29,29,189,4.5
2006,2006-10-31,"home",0,"Lakers",114,0,0,NA,11,30,1,31,12,43,20,19,83,46,12,6,24,16,66,25,"26-27-34-27",16,"Suns",106,0,0,NA,7,29,5,25,4,29,21,25,77,40,30,13,17,13,34,20,"41-17-21-27",19,0,0,NA,-15,-5,8,207,6.5
2006,2006-10-31,"away",0,"Suns",106,0,0,NA,7,29,5,25,4,29,21,25,77,40,30,13,17,13,34,20,"41-17-21-27",19,"Lakers",114,0,0,NA,11,30,1,31,12,43,20,19,83,46,12,6,24,16,66,25,"26-27-34-27",16,0,0,NA,15,5,-8,207,-6.5
2006,2006-11-01,"home",0,"Hornets",99,0,0,NA,8,23,7,35,11,46,22,29,78,37,10,4,32,21,52,21,"27-23-23-26",9,"Pacers",106,0,0,NA,14,26,5,32,18,50,17,26,86,35,16,6,41,30,48,23,"23-26-28-29",15,0,0,NA,4,1,-4,194,1
2006,2006-11-01,"away",0,"Pacers",106,0,0,NA,14,26,5,32,18,50,17,26,86,35,16,6,41,30,48,23,"23-26-28-29",15,"Hornets",99,0,0,NA,8,23,7,35,11,46,22,29,78,37,10,4,32,21,52,21,"27-23-23-26",9,0,0,NA,-4,-1,4,194,-1
2006,2006-11-01,"home",0,"Cavaliers",97,0,0,NA,4,24,4,34,16,50,16,25,78,37,19,8,30,15,38,8,"26-21-28-22",11,"Wizards",94,0,0,NA,7,22,4,24,9,33,11,26,77,36,13,2,29,20,46,19,"28-17-24-25",5,0,0,NA,-2,2,6,193.5,-6
2006,2006-11-01,"away",0,"Wizards",94,0,0,NA,7,22,4,24,9,33,11,26,77,36,13,2,29,20,46,19,"28-17-24-25",5,"Cavaliers",97,0,0,NA,4,24,4,34,16,50,16,25,78,37,19,8,30,15,38,8,"26-21-28-22",11,0,0,NA,2,-2,-6,193.5,6
2006,2006-11-01,"home",0,"Celtics",87,0,0,NA,5,18,6,42,10,52,19,31,75,30,16,3,39,24,40,20,"16-25-24-22",0,"Pelicans",91,0,0,NA,6,17,4,36,10,46,15,31,84,36,11,1,33,18,52,15,"26-28-21-16",18,0,0,NA,-10,-13,-10,199,-4.5
2006,2006-11-01,"away",0,"Pelicans",91,0,0,NA,6,17,4,36,10,46,15,31,84,36,11,1,33,18,52,15,"26-28-21-16",18,"Celtics",87,0,0,NA,5,18,6,42,10,52,19,31,75,30,16,3,39,24,40,20,"16-25-24-22",0,0,0,NA,10,13,10,199,4.5
