"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2010,2010-10-26,"home",0,"Celtics",88,0,0,NA,6,25,4,34,8,42,18,16,69,32,16,8,25,16,38,11,"16-29-18-25",19,"Heat",80,0,0,NA,10,15,6,28,11,39,17,18,74,27,20,8,25,18,24,11,"9-21-27-23",2,0,0,"1",7,15,6,190,0
2010,2010-10-26,"away",0,"Heat",80,0,0,NA,10,15,6,28,11,39,17,18,74,27,20,8,25,18,24,11,"9-21-27-23",2,"Celtics",88,0,0,NA,6,25,4,34,8,42,18,16,69,32,16,8,25,16,38,11,"16-29-18-25",19,0,0,"1",-7,-15,-6,190,0
2010,2010-10-26,"home",0,"Lakers",112,0,0,NA,11,21,4,30,14,44,12,22,96,40,21,9,28,23,46,12,"26-25-26-35",8,"Rockets",110,0,0,NA,6,25,7,37,16,53,20,23,91,38,20,8,28,26,42,17,"33-29-20-28",15,0,0,"6",-7,-11,-5,196,-7
2010,2010-10-26,"away",0,"Rockets",110,0,0,NA,6,25,7,37,16,53,20,23,91,38,20,8,28,26,42,17,"33-29-20-28",15,"Lakers",112,0,0,NA,11,21,4,30,14,44,12,22,96,40,21,9,28,23,46,12,"26-25-26-35",8,0,0,"6",7,11,5,196,7
2010,2010-10-26,"home",0,"Trailblazers",106,0,0,NA,10,31,2,30,18,48,12,21,93,43,20,10,15,10,42,13,"28-22-25-31",14,"Suns",92,0,0,NA,3,15,4,23,7,30,19,16,74,36,19,9,16,11,44,6,"26-20-35-11",6,0,0,"20",2,4,-6,202,-7.5
2010,2010-10-26,"away",0,"Suns",92,0,0,NA,3,15,4,23,7,30,19,16,74,36,19,9,16,11,44,6,"26-20-35-11",6,"Trailblazers",106,0,0,NA,10,31,2,30,18,48,12,21,93,43,20,10,15,10,42,13,"28-22-25-31",14,0,0,"20",-2,-4,6,202,7.5
2010,2010-10-27,"home",0,"Cavaliers",95,0,0,NA,5,24,4,29,8,37,14,20,81,36,20,6,21,17,42,10,"21-25-22-27",8,"Celtics",87,1,0,0,8,24,1,32,6,38,19,24,72,34,12,3,21,16,46,17,"23-24-26-14",11,0,0,"10",-2,-1,-5,183.5,4
2010,2010-10-27,"away",0,"Celtics",87,1,0,0,8,24,1,32,6,38,19,24,72,34,12,3,21,16,46,17,"23-24-26-14",11,"Cavaliers",95,0,0,NA,5,24,4,29,8,37,14,20,81,36,20,6,21,17,42,10,"21-25-22-27",8,0,0,"10",2,1,5,183.5,-4
2010,2010-10-27,"home",0,"Clippers",88,0,0,NA,8,19,8,27,14,41,15,20,79,32,18,5,30,19,50,16,"23-26-22-17",4,"Trailblazers",98,1,0,0,9,17,6,30,21,51,12,23,88,36,20,8,23,18,42,6,"31-23-16-28",12,0,0,"7",-8,-5,1,191.5,3
2010,2010-10-27,"away",0,"Trailblazers",98,1,0,0,9,17,6,30,21,51,12,23,88,36,20,8,23,18,42,6,"31-23-16-28",12,"Clippers",88,0,0,NA,8,19,8,27,14,41,15,20,79,32,18,5,30,19,50,16,"23-26-22-17",4,0,0,"7",8,5,-1,191.5,-3
2010,2010-10-27,"home",0,"Grizzlies",104,0,0,NA,7,13,4,30,9,39,14,26,86,40,9,4,25,20,44,15,"22-28-25-29",4,"Hawks",119,0,0,NA,7,20,9,35,9,44,15,20,80,42,16,8,31,27,50,26,"30-32-29-28",20,0,0,"2",-8,-12,-16,195,-2.5
2010,2010-10-27,"away",0,"Hawks",119,0,0,NA,7,20,9,35,9,44,15,20,80,42,16,8,31,27,50,26,"30-32-29-28",20,"Grizzlies",104,0,0,NA,7,13,4,30,9,39,14,26,86,40,9,4,25,20,44,15,"22-28-25-29",4,0,0,"2",8,12,16,195,2.5
2010,2010-10-27,"home",0,"Pelicans",95,0,0,NA,4,23,0,38,6,44,9,26,79,34,17,4,29,23,34,4,"29-18-31-17",10,"Bucks",91,0,0,NA,4,14,2,37,8,45,12,27,77,33,23,8,28,17,42,5,"30-17-25-19",5,0,0,"18",-1,0,6,188.5,-3
2010,2010-10-27,"away",0,"Bucks",91,0,0,NA,4,14,2,37,8,45,12,27,77,33,23,8,28,17,42,5,"30-17-25-19",5,"Pelicans",95,0,0,NA,4,23,0,38,6,44,9,26,79,34,17,4,29,23,34,4,"29-18-31-17",10,0,0,"18",1,0,-6,188.5,3
2010,2010-10-27,"home",0,"Mavericks",101,0,0,NA,12,29,5,34,7,41,16,18,75,41,15,4,18,15,44,28,"25-24-31-21",19,"Hornets",86,0,0,NA,8,22,3,28,8,36,20,15,73,29,13,5,24,23,34,18,"21-24-22-19",4,0,0,"4",4,4,13,183.5,-6.5
