"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2012,2012-10-30,"home",0,"Cavaliers",94,0,0,NA,7,22,5,36,18,54,20,21,79,36,20,7,22,15,42,6,"31-19-24-20",16,"Wizards",84,0,0,NA,11,26,10,21,18,39,12,19,90,32,32,8,20,12,32,13,"24-15-23-22",5,0,0,"5",7,11,12,189,-5.5
2012,2012-10-30,"away",0,"Wizards",84,0,0,NA,11,26,10,21,18,39,12,19,90,32,32,8,20,12,32,13,"24-15-23-22",5,"Cavaliers",94,0,0,NA,7,22,5,36,18,54,20,21,79,36,20,7,22,15,42,6,"31-19-24-20",16,0,0,"5",-7,-11,-12,189,5.5
2012,2012-10-30,"home",0,"Heat",120,0,0,NA,8,25,5,31,5,36,8,20,79,43,16,8,32,26,46,12,"31-31-31-27",19,"Celtics",107,0,0,NA,4,24,2,34,7,41,15,23,75,39,13,6,28,23,42,27,"25-29-22-31",5,0,0,"2",6,8,17,186.5,-7
2012,2012-10-30,"away",0,"Celtics",107,0,0,NA,4,24,2,34,7,41,15,23,75,39,13,6,28,23,42,27,"25-29-22-31",5,"Heat",120,0,0,NA,8,25,5,31,5,36,8,20,79,43,16,8,32,26,46,12,"31-31-31-27",19,0,0,"2",-6,-8,-17,186.5,7
2012,2012-10-30,"home",0,"Lakers",91,0,0,NA,6,24,5,31,15,46,14,21,77,38,13,3,31,12,56,7,"29-17-20-25",8,"Mavericks",99,0,0,NA,9,22,5,31,9,40,11,25,85,40,15,5,18,14,46,13,"25-23-26-25",16,0,0,"7",4,-2,-8,186.5,-8.5
2012,2012-10-30,"away",0,"Mavericks",99,0,0,NA,9,22,5,31,9,40,11,25,85,40,15,5,18,14,46,13,"25-23-26-25",16,"Lakers",91,0,0,NA,6,24,5,31,15,46,14,21,77,38,13,3,31,12,56,7,"29-17-20-25",8,0,0,"7",-4,2,8,186.5,8.5
2012,2012-10-31,"home",0,"Bulls",93,0,0,NA,8,21,10,32,14,46,18,19,79,33,9,2,33,25,42,14,"25-19-25-24",14,"Kings",87,0,0,NA,10,14,5,29,11,40,19,29,84,34,17,6,16,13,44,14,"23-17-23-24",4,0,0,"5",2,4,6,189,-6.5
2012,2012-10-31,"away",0,"Kings",87,0,0,NA,10,14,5,29,11,40,19,29,84,34,17,6,16,13,44,14,"23-17-23-24",4,"Bulls",93,0,0,NA,8,21,10,32,14,46,18,19,79,33,9,2,33,25,42,14,"25-19-25-24",14,0,0,"5",-2,-4,-6,189,6.5
2012,2012-10-31,"home",0,"Clippers",101,0,0,NA,12,25,9,31,8,39,22,27,74,38,15,5,29,20,52,29,"26-23-24-28",12,"Grizzlies",92,0,0,NA,14,24,4,27,17,44,18,25,86,33,14,2,30,24,44,11,"24-29-24-15",6,0,0,"7",2,-4,-4,188,-4
2012,2012-10-31,"away",0,"Grizzlies",92,0,0,NA,14,24,4,27,17,44,18,25,86,33,14,2,30,24,44,11,"24-29-24-15",6,"Clippers",101,0,0,NA,12,25,9,31,8,39,22,27,74,38,15,5,29,20,52,29,"26-23-24-28",12,0,0,"7",-2,4,4,188,4
