"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2016,2016-10-25,"home",0,"Cavaliers",117,0,0,NA,12,31,5,40,11,51,14,22,94,45,35,13,19,14,52,16,"28-20-34-35",32,"Knicks",88,0,0,NA,6,17,6,29,13,42,18,22,87,32,27,9,20,15,28,9,"18-27-19-24",4,0,0,NA,10,3,18,206,-10
2016,2016-10-25,"away",0,"Knicks",88,0,0,NA,6,17,6,29,13,42,18,22,87,32,27,9,20,15,28,9,"18-27-19-24",4,"Cavaliers",117,0,0,NA,12,31,5,40,11,51,14,22,94,45,35,13,19,14,52,16,"28-20-34-35",32,0,0,NA,-10,-3,-18,206,10
2016,2016-10-25,"home",0,"Trailblazers",113,0,0,NA,5,22,3,29,5,34,12,18,75,39,19,13,22,22,34,4,"26-28-23-36",13,"Jazz",104,0,0,NA,9,19,5,25,6,31,11,19,82,40,24,8,16,16,50,8,"26-20-37-21",8,0,0,NA,0,8,-6,192,-6.5
2016,2016-10-25,"away",0,"Jazz",104,0,0,NA,9,19,5,25,6,31,11,19,82,40,24,8,16,16,50,8,"26-20-37-21",8,"Trailblazers",113,0,0,NA,5,22,3,29,5,34,12,18,75,39,19,13,22,22,34,4,"26-28-23-36",13,0,0,NA,0,-8,6,192,6.5
2016,2016-10-25,"home",0,"Warriors",100,0,0,NA,11,24,6,27,8,35,16,19,85,40,33,7,18,13,48,20,"20-26-31-23",4,"Spurs",129,0,0,NA,13,25,3,34,21,55,13,19,98,47,24,12,26,23,50,24,"31-33-33-32",29,0,0,NA,-11,-18,-20,211.5,-8
2016,2016-10-25,"away",0,"Spurs",129,0,0,NA,13,25,3,34,21,55,13,19,98,47,24,12,26,23,50,24,"31-33-33-32",29,"Warriors",100,0,0,NA,11,24,6,27,8,35,16,19,85,40,33,7,18,13,48,20,"20-26-31-23",4,0,0,NA,11,18,20,211.5,8
2016,2016-10-26,"home",0,"Bucks",96,0,0,NA,4,23,5,36,10,46,8,22,92,39,16,3,20,15,56,16,"24-17-25-30",0,"Hornets",107,0,0,NA,5,27,10,40,11,51,10,22,89,40,23,7,24,20,56,4,"32-24-27-24",24,0,0,NA,-8,-15,-17,195,-1.5
2016,2016-10-26,"away",0,"Hornets",107,0,0,NA,5,27,10,40,11,51,10,22,89,40,23,7,24,20,56,4,"32-24-27-24",24,"Bucks",96,0,0,NA,4,23,5,36,10,46,8,22,92,39,16,3,20,15,56,16,"24-17-25-30",0,0,0,NA,8,15,17,195,1.5
2016,2016-10-26,"home",0,"Celtics",122,0,0,NA,13,36,9,35,12,47,19,20,89,48,32,11,18,15,50,11,"33-31-33-25",23,"Nets",117,0,0,NA,8,22,3,29,15,44,16,19,97,43,44,15,20,16,50,8,"31-27-23-36",4,0,0,NA,2,6,16,212.5,-11
2016,2016-10-26,"away",0,"Nets",117,0,0,NA,8,22,3,29,15,44,16,19,97,43,44,15,20,16,50,8,"31-27-23-36",4,"Celtics",122,0,0,NA,13,36,9,35,12,47,19,20,89,48,32,11,18,15,50,11,"33-31-33-25",23,0,0,NA,-2,-6,-16,212.5,11
2016,2016-10-26,"home",0,"Grizzlies",102,0,0,NA,6,19,11,34,11,45,13,25,80,36,24,11,27,19,34,5,"29-21-26-26",6,"Timberwolves",98,0,0,NA,6,20,5,30,15,45,10,23,86,36,18,6,29,20,44,13,"32-27-16-23",17,0,0,NA,-3,-9,1,199.5,1
2016,2016-10-26,"away",0,"Timberwolves",98,0,0,NA,6,20,5,30,15,45,10,23,86,36,18,6,29,20,44,13,"32-27-16-23",17,"Grizzlies",102,0,0,NA,6,19,11,34,11,45,13,25,80,36,24,11,27,19,34,5,"29-21-26-26",6,0,0,NA,3,9,-1,199.5,-1
2016,2016-10-26,"home",0,"Lakers",120,0,0,NA,10,21,4,28,11,39,15,24,89,45,35,12,22,18,54,20,"38-25-27-30",6,"Rockets",114,0,0,NA,10,29,1,29,10,39,14,23,86,44,29,7,27,19,64,24,"38-33-25-18",10,0,0,NA,0,-8,-6,225.5,5.5
2016,2016-10-26,"away",0,"Rockets",114,0,0,NA,10,29,1,29,10,39,14,23,86,44,29,7,27,19,64,24,"38-33-25-18",10,"Lakers",120,0,0,NA,10,21,4,28,11,39,15,24,89,45,35,12,22,18,54,20,"38-25-27-30",6,0,0,NA,0,8,6,225.5,-5.5
2016,2016-10-26,"home",0,"Magic",96,0,0,NA,5,20,4,30,15,45,11,15,89,34,18,6,28,22,36,8,"27-26-16-27",7,"Heat",108,0,0,NA,5,27,7,36,16,52,10,22,97,47,16,4,16,10,74,15,"23-27-30-28",19,0,0,NA,4,3,-11,200,-2.5
2016,2016-10-26,"away",0,"Heat",108,0,0,NA,5,27,7,36,16,52,10,22,97,47,16,4,16,10,74,15,"23-27-30-28",19,"Magic",96,0,0,NA,5,20,4,30,15,45,11,15,89,34,18,6,28,22,36,8,"27-26-16-27",7,0,0,NA,-4,-3,11,200,2.5
2016,2016-10-26,"home",0,"Pacers",130,0,0,NA,11,30,6,44,8,52,16,23,93,47,19,10,34,26,54,11,"33-26-35-21-15",14,"Mavericks",121,0,0,NA,8,26,8,39,10,49,15,27,104,45,48,18,18,13,42,7,"21-31-33-30-6",1,0,0,NA,12,7,9,205,-5.5
2016,2016-10-26,"away",0,"Mavericks",121,0,0,NA,8,26,8,39,10,49,15,27,104,45,48,18,18,13,42,7,"21-31-33-30-6",1,"Pacers",130,0,0,NA,11,30,6,44,8,52,16,23,93,47,19,10,34,26,54,11,"33-26-35-21-15",14,0,0,NA,-12,-7,-9,205,5.5
2016,2016-10-26,"home",0,"Pelicans",102,0,0,NA,16,31,5,29,5,34,11,29,92,38,19,3,26,23,50,15,"24-24-29-25",3,"Nuggets",107,0,0,NA,7,18,3,47,11,58,24,22,83,37,24,8,33,25,50,11,"30-30-25-22",14,0,0,NA,-6,-12,-8,207,-1.5
2016,2016-10-26,"away",0,"Nuggets",107,0,0,NA,7,18,3,47,11,58,24,22,83,37,24,8,33,25,50,11,"30-30-25-22",14,"Pelicans",102,0,0,NA,16,31,5,29,5,34,11,29,92,38,19,3,26,23,50,15,"24-24-29-25",3,0,0,NA,6,12,8,207,1.5
2016,2016-10-26,"home",0,"Raptors",109,0,0,NA,8,17,0,37,14,51,11,22,86,41,18,3,29,24,54,6,"33-25-28-23",20,"Pistons",91,0,0,NA,8,17,0,32,8,40,13,24,84,35,22,4,22,17,40,16,"23-23-25-20",7,0,0,NA,10,12,15,197,-7
2016,2016-10-26,"away",0,"Pistons",91,0,0,NA,8,17,0,32,8,40,13,24,84,35,22,4,22,17,40,16,"23-23-25-20",7,"Raptors",109,0,0,NA,8,17,0,37,14,51,11,22,86,41,18,3,29,24,54,6,"33-25-28-23",20,0,0,NA,-10,-12,-15,197,7
