"season","date","site","playoffs","team","pts","wins","losses","rest","steals","assists","blocks","defensive_rebounds","offensive_rebounds","rebounds","turnovers","fouls","field_goals_attempted","field_goals_made","three_pointers_attempted","three_pointers_made","free_throws_attempted","free_throws_made","pts_in_paint","fast_break_pts","quarter_scores","biggest_lead","o_team","o_pts","o_wins","o_losses","o_rest","o_steals","o_assists","o_blocks","o_defensive_rebounds","o_offensive_rebounds","o_rebounds","o_turnovers","o_fouls","o_field_goals_attempted","o_field_goals_made","o_three_pointers_attempted","o_three_pointers_made","o_free_throws_attempted","o_free_throws_made","o_pts_in_paint","o_fast_break_pts","o_quarter_scores","o_biggest_lead","matchup_wins","matchup_losses","lead_changes","margin_after_first","margin_at_half","margin_after_third","total","line"
2009,2009-10-27,"home",0,"Cavaliers",89,0,0,NA,7,17,9,26,6,32,13,22,70,29,17,6,32,25,32,11,"28-17-20-24",14,"Celtics",95,0,0,NA,9,20,8,32,6,38,14,27,72,32,19,9,26,22,26,15,"21-30-21-23",15,0,0,NA,7,-6,-7,186,-5
2009,2009-10-27,"away",0,"Celtics",95,0,0,NA,9,20,8,32,6,38,14,27,72,32,19,9,26,22,26,15,"21-30-21-23",15,"Cavaliers",89,0,0,NA,7,17,9,26,6,32,13,22,70,29,17,6,32,25,32,11,"28-17-20-24",14,0,0,NA,-7,6,7,186,5
2009,2009-10-27,"home",0,"Lakers",99,0,0,NA,13,17,4,30,17,47,16,15,85,35,17,4,37,25,50,12,"32-27-17-23",15,"Clippers",92,0,0,NA,10,27,4,36,15,51,20,27,87,39,15,3,16,11,42,12,"22-27-26-17",1,0,0,NA,10,10,1,206,-11
2009,2009-10-27,"away",0,"Clippers",92,0,0,NA,10,27,4,36,15,51,20,27,87,39,15,3,16,11,42,12,"22-27-26-17",1,"Lakers",99,0,0,NA,13,17,4,30,17,47,16,15,85,35,17,4,37,25,50,12,"32-27-17-23",15,0,0,NA,-10,-10,-1,206,11
2009,2009-10-27,"home",0,"Mavericks",91,0,0,NA,6,16,9,31,11,42,9,20,76,30,18,4,34,27,32,11,"21-29-24-17",6,"Wizards",102,0,0,NA,6,19,4,37,9,46,9,29,84,39,13,4,24,20,34,15,"21-35-21-25",12,0,0,NA,0,-6,-3,205,-8
2009,2009-10-27,"away",0,"Wizards",102,0,0,NA,6,19,4,37,9,46,9,29,84,39,13,4,24,20,34,15,"21-35-21-25",12,"Mavericks",91,0,0,NA,6,16,9,31,11,42,9,20,76,30,18,4,34,27,32,11,"21-29-24-17",6,0,0,NA,0,6,3,205,8
2009,2009-10-27,"home",0,"Trailblazers",96,0,0,NA,9,23,12,39,12,51,26,27,77,33,21,10,22,20,24,8,"23-31-21-21",20,"Rockets",87,0,0,NA,12,18,2,23,10,33,16,26,81,30,18,5,29,22,40,16,"23-18-15-31",3,0,0,NA,0,13,19,187,-9.5
2009,2009-10-27,"away",0,"Rockets",87,0,0,NA,12,18,2,23,10,33,16,26,81,30,18,5,29,22,40,16,"23-18-15-31",3,"Trailblazers",96,0,0,NA,9,23,12,39,12,51,26,27,77,33,21,10,22,20,24,8,"23-31-21-21",20,0,0,NA,0,-13,-19,187,9.5
2009,2009-10-28,"home",0,"Celtics",92,1,0,0,10,28,8,34,10,44,12,22,76,33,29,11,19,15,28,16,"22-20-25-25",33,"Hornets",59,0,0,NA,6,10,4,32,14,46,18,23,74,23,10,0,25,13,28,8,"13-18-10-18",0,0,0,NA,9,11,26,183,-10
2009,2009-10-28,"away",0,"Hornets",59,0,0,NA,6,10,4,32,14,46,18,23,74,23,10,0,25,13,28,8,"13-18-10-18",0,"Celtics",92,1,0,0,10,28,8,34,10,44,12,22,76,33,29,11,19,15,28,16,"22-20-25-25",33,0,0,NA,-9,-11,-26,183,10
