"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2010,2011-04-01,"Nets","Seventysixers","+10 -103","+10.5 -115","+10.5 -109","+10 -110","+10 -110","+10.5 -110","","+10.5 -110","+10.5 -110","+10.5 -110"
2010,2011-04-01,"Seventysixers","Nets","-10 -107","-10.5 -105","-10.5 -109","-10 -110","-10 -110","-10.5 -110","","-10.5 -110","-10.5 -110","-10.5 -110"
2010,2011-04-01,"Cavaliers","Wizards","+2.5 -104","+2.5 -110","+2.5 -109","+2.5 -110","+2.5 -105","+2.5 -110","","+2.5 -115","+2.5 -110","+2.5 -110"
2010,2011-04-01,"Wizards","Cavaliers","-2.5 -106","-2.5 -110","-2.5 -109","-2.5 -110","-2.5 -105","-2.5 -110","","-2.5 -105","-2.5 -110","-2.5 -110"
2010,2011-04-01,"Bucks","Pacers","+2.5 -103","+3 -115","+2.5 -109","+2.5 -110","+3 -108","+3 -110","","+3.5 -115","+3 -110","+3 -110"
2010,2011-04-01,"Pacers","Bucks","-2.5 -107","-3 -105","-2.5 -109","-2.5 -110","-3 -102","-3 -110","","-3.5 -105","-3 -110","-3 -110"
2010,2011-04-01,"Hornets","Magic","+12.5 -107","+12.5 -110","+12.5 -109","+12.5 -110","+12.5 -108","+12.5 -110","","+12.5 -110","+12.5 -110","+12.5 -110"
2010,2011-04-01,"Magic","Hornets","-12.5 -103","-12.5 -110","-12.5 -109","-12.5 -110","-12.5 -102","-12.5 -110","","-12.5 -110","-12.5 -110","-12.5 -110"
2010,2011-04-01,"Bulls","Pistons","-8.5 -105","-8.5 -110","-8.5 -109","-8.5 -110","-8.5 -110","-8.5 -110","","-8.5 -115","-8.5 -110","-8.5 -110"
2010,2011-04-01,"Pistons","Bulls","+8.5 -105","+8.5 -110","+8.5 -109","+8.5 -110","+8.5 -110","+8.5 -110","","+8.5 -105","+8.5 -110","+8.5 -110"
2010,2011-04-01,"Celtics","Hawks","-1.5 +100","-1 -110","-1 -109","PK-110","-1 -108","-1 -110","","-1.5 -110","-1 -110","-1 -110"
2010,2011-04-01,"Hawks","Celtics","+1.5 -110","+1 -110","+1 -109","PK-110","+1 -102","+1 -110","","+1.5 -110","+1 -110","+1 -110"
2010,2011-04-01,"Heat","Timberwolves","-11 -102","-11 -110","-11 -109","-11 -110","-11 -103","-11 -110","","-11.5 -110","-11 -110","-11 -110"
2010,2011-04-01,"Timberwolves","Heat","+11 -108","+11 -110","+11 -109","+11 -110","+11 -107","+11 -110","","+11.5 -110","+11 -110","+11 -110"
2010,2011-04-01,"Grizzlies","Pelicans","-1 -103","-1 -110","PK-109","PK-110","-1 -104","PK-110","","-1 -110","PK-110","PK-110"
2010,2011-04-01,"Pelicans","Grizzlies","+1 -107","+1 -110","PK-109","PK-110","+1 -106","PK-110","","+1 -110","PK-110","PK-110"
2010,2011-04-01,"Spurs","Rockets","+2.5 -107","+2 -105","+2.5 -109","+2 -110","+2.5 -110","+2 -110","","+2 -115","+2.5 -110","+2 -110"
2010,2011-04-01,"Rockets","Spurs","-2.5 -103","-2 -115","-2.5 -109","-2 -110","-2.5 -110","-2 -110","","-2 -105","-2.5 -110","-2 -110"
2010,2011-04-01,"Nuggets","Kings","-5 -106","-5 -110","-5 -109","-5 -110","-5 -102","-5 -110","","-5 -115","-5 -110","-5 -110"
2010,2011-04-01,"Kings","Nuggets","+5 -104","+5 -110","+5 -109","+5 -110","+5 -108","+5 -110","","+5 -105","+5 -110","+5 -110"
2010,2011-04-01,"Clippers","Suns","+5 -106","+5 -105","+5 -109","+5.5 -110","+5 -105","+5.5 -110","","+5.5 -110","+5 -110","+5 -110"
2010,2011-04-01,"Suns","Clippers","-5 -104","-5 -115","-5 -109","-5.5 -110","-5 -105","-5.5 -110","","-5.5 -110","-5 -110","-5 -110"
2010,2011-04-01,"Thunder","Trailblazers","+3.5 -108","+3 -110","+3.5 -109","+3.5 -110","+3.5 -105","+3.5 -110","","+3.5 -115","+3.5 -110","+3.5 -110"
2010,2011-04-01,"Trailblazers","Thunder","-3.5 -102","-3 -110","-3.5 -109","-3.5 -110","-3.5 -105","-3.5 -110","","-3.5 -105","-3.5 -110","-3.5 -110"
2010,2011-04-01,"Lakers","Jazz","-8 -113","-8.5 -110","-8.5 -109","-8 -110","-8.5 -103","-8 -110","","-8.5 -115","-8.5 -110","-8.5 -110"
2010,2011-04-01,"Jazz","Lakers","+8 +102","+8.5 -110","+8.5 -109","+8 -110","+8.5 -107","+8 -110","","+8.5 -105","+8.5 -110","+8.5 -110"
