"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2016,2016-11-06,"Jazz","Knicks","-2.5 -100","-2.5 -105","-2.5 -110","-2.5 -110","-2.5 -110","-2.5 -110","-2.5 -105","-2.5 -110","-2.5 -110","-2.5 -110"
2016,2016-11-06,"Knicks","Jazz","+2.5 -110","+2.5 -115","+2.5 -110","+2.5 -110","+2.5 -110","+2.5 -110","+2.5 -105","+2.5 -110","+2.5 -110","+2.5 -110"
2016,2016-11-06,"Trailblazers","Grizzlies","+1 -109","+1 -110","+1 -110","+1 -110","+1 -110","+1 -110","+1 -105","PK-110","+1 -110","+1 -110"
2016,2016-11-06,"Grizzlies","Trailblazers","-1 -101","-1 -110","-1 -110","-1 -110","-1 -110","-1 -110","-1 -105","PK-110","-1 -110","-1 -110"
2016,2016-11-06,"Kings","Raptors","+7 -100","+7.5 -115","+7 -110","+7 -110","+7 -110","+7 -110","+7.5 -105","+7.5 -115","+7 -110","+7 -110"
2016,2016-11-06,"Raptors","Kings","-7 -110","-7.5 -105","-7 -110","-7 -110","-7 -110","-7 -110","-7.5 -105","-7.5 -105","-7 -110","-7 -110"
2016,2016-11-06,"Bucks","Mavericks","+3 -105","+3 -105","+2.5 -105","+2.5 -105","+2.5 -102","+2.5 -105","+3 -105","+2.5 -110","+3 -110","+2.5 -105"
2016,2016-11-06,"Mavericks","Bucks","-3 -105","-3 -115","-2.5 -115","-2.5 -115","-2.5 -108","-2.5 -115","-3 -105","-2.5 -110","-3 -110","-2.5 -115"
2016,2016-11-06,"Nuggets","Celtics","+7 -113","+7 -110","+7 -110","+7 -110","+7 -110","+7 -110","+6.5 -105","+7.5 -110","+7 -110","+7 -110"
2016,2016-11-06,"Celtics","Nuggets","-7 +102","-7 -110","-7 -110","-7 -110","-7 -110","-7 -110","-6.5 -105","-7.5 -110","-7 -110","-7 -110"
2016,2016-11-06,"Suns","Lakers","+4 -105","+4 -110","+4 -110","+4 -110","+4 -110","+4 -110","+4 -105","+4.5 -110","+4 -110","+4 -110"
2016,2016-11-06,"Lakers","Suns","-4 -105","-4 -110","-4 -110","-4 -110","-4 -110","-4 -110","-4 -105","-4.5 -110","-4 -110","-4 -110"
