"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2010,2011-01-14,"Pistons","Raptors","+5.5 -110","+5.5 -110","+5.5 -109","+5.5 -110","+5.5 -108","+5.5 -110","","+5.5 -105","+5.5 -110","+5.5 -110"
2010,2011-01-14,"Raptors","Pistons","-5.5 +100","-5.5 -110","-5.5 -109","-5.5 -110","-5.5 -102","-5.5 -110","","-5.5 -115","-5.5 -110","-5.5 -110"
2010,2011-01-14,"Bucks","Seventysixers","+4.5 -108","+4.5 -110","+5 -109","+4.5 -110","+4.5 -105","+4.5 -110","","+5 -110","+5 -110","+5 -110"
2010,2011-01-14,"Seventysixers","Bucks","-4.5 -102","-4.5 -110","-5 -109","-4.5 -110","-4.5 -105","-4.5 -110","","-5 -110","-5 -110","-5 -110"
2010,2011-01-14,"Bulls","Pacers","-1 +100","-1 -110","-1 -109","PK-110","-1 +100","-1 -110","","-1.5 -105","-1 -110","PK-110"
2010,2011-01-14,"Pacers","Bulls","+1 -110","+1 -110","+1 -109","PK-110","+1 -110","+1 -110","","+1.5 -115","+1 -110","PK-110"
2010,2011-01-14,"Kings","Knicks","+8.5 -103","+8.5 -110","+8.5 -104","+9 -110","+9 -108","+9 -110","","+9 -105","+9 -110","+9 -110"
2010,2011-01-14,"Knicks","Kings","-8.5 -107","-8.5 -110","-8.5 -114","-9 -110","-9 -102","-9 -110","","-9 -115","-9 -110","-9 -110"
2010,2011-01-14,"Hornets","Celtics","+8 -109","+8 -110","+8 -109","+8 -110","+8 -108","+8 -110","","+8.5 -115","+8 -110","+8 -110"
2010,2011-01-14,"Celtics","Hornets","-8 -101","-8 -110","-8 -109","-8 -110","-8 -102","-8 -110","","-8.5 -105","-8 -110","-8 -110"
2010,2011-01-14,"Mavericks","Spurs","+9.5 -103","+9.5 -110","+9.5 -109","+9.5 -110","+9.5 -108","+9.5 -110","","+9.5 -110","+9.5 -110","+9.5 -110"
2010,2011-01-14,"Spurs","Mavericks","-9.5 -107","-9.5 -110","-9.5 -109","-9.5 -110","-9.5 -102","-9.5 -110","","-9.5 -110","-9.5 -110","-9.5 -110"
2010,2011-01-14,"Pelicans","Rockets","+2.5 -105","+2.5 -110","+2.5 -109","+2.5 -110","+2.5 -105","+2.5 -110","","+2 -105","+2.5 -110","+2.5 -110"
2010,2011-01-14,"Rockets","Pelicans","-2.5 -105","-2.5 -110","-2.5 -109","-2.5 -110","-2.5 -105","-2.5 -110","","-2 -115","-2.5 -110","-2.5 -110"
2010,2011-01-14,"Cavaliers","Jazz","+15 -102","+15 -110","+15 -109","+14.5 -110","+15 -105","+14.5 -110","","+15 -115","+14.5 -110","+15 -110"
2010,2011-01-14,"Jazz","Cavaliers","-15 -108","-15 -110","-15 -109","-14.5 -110","-15 -105","-14.5 -110","","-15 -105","-14.5 -110","-15 -110"
2010,2011-01-14,"Trailblazers","Suns","-2 +102","-1.5 -110","-2 -109","-2 -110","-2 -105","-2 -110","","-2 -110","-2 -110","-2 -110"
2010,2011-01-14,"Suns","Trailblazers","+2 -113","+1.5 -110","+2 -109","+2 -110","+2 -105","+2 -110","","+2 -110","+2 -110","+2 -110"
2010,2011-01-14,"Clippers","Warriors","+3 +104","+3.5 -110","+3.5 -109","+3 -110","+3.5 -108","+3 -110","","+3 -105","+3.5 -110","+3.5 -110"
2010,2011-01-14,"Warriors","Clippers","-3 -115","-3.5 -110","-3.5 -109","-3 -110","-3.5 -102","-3 -110","","-3 -115","-3.5 -110","-3.5 -110"
2010,2011-01-14,"Nets","Lakers","+13.5 -105","+13.5 -110","+13.5 -109","+13.5 -110","+13.5 -105","+13.5 -110","","+14 -110","+13.5 -110","+13.5 -110"
2010,2011-01-14,"Lakers","Nets","-13.5 -105","-13.5 -110","-13.5 -109","-13.5 -110","-13.5 -105","-13.5 -110","","-14 -110","-13.5 -110","-13.5 -110"
