"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2008,2008-11-24,"Seventysixers","Hornets","-3 -112","-3.5 -110","-3 -114","-3 -110","-3 -107","-3 -110","","-3.5 -110","","-3.5 -110"
2008,2008-11-24,"Hornets","Seventysixers","+3 +102","+3.5 -110","+3 -104","+3 -110","+3 -103","+3 -110","","+3.5 -110","","+3.5 -110"
2008,2008-11-24,"Bucks","Magic","+8.5 -101","+8.5 -110","+8.5 -109","+8.5 -110","+8.5 -105","+8.5 -110","","+8.5 -110","","+8.5 -110"
2008,2008-11-24,"Magic","Bucks","-8.5 -109","-8.5 -110","-8.5 -109","-8.5 -110","-8.5 -105","-8.5 -110","","-8.5 -110","","-8.5 -110"
2008,2008-11-24,"Rockets","Heat","-3.5 +105","-3 -110","-3 -109","-3 -110","-3 -109","-3 -110","","-3.5 -110","","-3 -110"
2008,2008-11-24,"Heat","Rockets","+3.5 -115","+3 -110","+3 -109","+3 -110","+3 -101","+3 -110","","+3.5 -110","","+3 -110"
2008,2008-11-24,"Spurs","Grizzlies","-3 -105","-3.5 -110","-3 -114","-3 -110","-3 -108","-3.5 -110","","-3.5 -105","","-3 -110"
2008,2008-11-24,"Grizzlies","Spurs","+3 -105","+3.5 -110","+3 -104","+3 -110","+3 -102","+3.5 -110","","+3.5 -115","","+3 -110"
2008,2008-11-24,"Bulls","Jazz","+6.5 -111","+6.5 -110","+6.5 -109","+6.5 -110","+6.5 -107","+6.5 -110","","+7 -115","","+6.5 -110"
2008,2008-11-24,"Jazz","Bulls","-6.5 +101","-6.5 -110","-6.5 -109","-6.5 -110","-6.5 -103","-6.5 -110","","-7 -105","","-6.5 -110"
2008,2008-11-24,"Kings","Trailblazers","+12 +106","+12 -110","+12 -109","+12 -110","+12 -105","+11.5 -110","","+12 -110","","+12 -110"
2008,2008-11-24,"Trailblazers","Kings","-12 -116","-12 -110","-12 -109","-12 -110","-12 -105","-11.5 -110","","-12 -110","","-12 -110"
2008,2008-11-24,"Pelicans","Clippers","-6.5 -107","-6.5 -110","-6.5 -109","-6.5 -110","-6.5 -102","-7 -110","","-7 -110","","-6.5 -110"
2008,2008-11-24,"Clippers","Pelicans","+6.5 -103","+6.5 -110","+6.5 -109","+6.5 -110","+6.5 -108","+7 -110","","+7 -110","","+6.5 -110"
