"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2011,2012-03-26,"Magic","Raptors","-5.5 -105","-6 -110","-6 -110","-5.5 -110","-6 -103","-5.5 -110","-6 -105","-6 -110","-6 -110","-6 -110"
2011,2012-03-26,"Raptors","Magic","+5.5 -105","+6 -110","+6 -110","+5.5 -110","+6 -107","+5.5 -110","+6 -115","+6 -110","+6 -110","+6 -110"
2011,2012-03-26,"Heat","Pacers","-3.5 -103","-3.5 -110","-3.5 -115","-3.5 -110","-3.5 -103","-3.5 -110","-3.5 -115","-4 -115","-3.5 -110","-4 -110"
2011,2012-03-26,"Pacers","Heat","+3.5 -107","+3.5 -110","+3.5 -105","+3.5 -110","+3.5 -107","+3.5 -110","+3.5 -105","+4 -105","+3.5 -110","+4 -110"
2011,2012-03-26,"Pistons","Wizards","-1 -108","-1 -110","-1 -110","-1 -110","-1 -107","-1 -110","-1 -115","-1 -110","-1 -110","-1 -110"
2011,2012-03-26,"Wizards","Pistons","+1 -102","+1 -110","+1 -110","+1 -110","+1 -103","+1 -110","+1 -105","+1 -110","+1 -110","+1 -110"
2011,2012-03-26,"Celtics","Hornets","-6.5 -102","-6.5 -110","-6.5 -115","-6.5 -110","-6.5 -107","-6.5 -110","-6.5 -105","-7 -105","-6.5 -110","-6.5 -110"
2011,2012-03-26,"Hornets","Celtics","+6.5 -108","+6.5 -110","+6.5 -105","+6.5 -110","+6.5 -103","+6.5 -110","+6.5 -115","+7 -115","+6.5 -110","+6.5 -110"
2011,2012-03-26,"Bucks","Knicks","+4.5 -104","+4.5 -110","+4.5 -110","+4.5 -110","+4.5 -104","+4.5 -110","+5 -115","+4.5 -110","+4.5 -110","+4.5 -110"
2011,2012-03-26,"Knicks","Bucks","-4.5 -106","-4.5 -110","-4.5 -110","-4.5 -110","-4.5 -106","-4.5 -110","-5 -105","-4.5 -110","-4.5 -110","-4.5 -110"
2011,2012-03-26,"Jazz","Nets","+1.5 -107","+1.5 -110","+1.5 -115","+1.5 -110","+1.5 -109","+1.5 -110","+2 -115","+1 -110","+1 -110","+1.5 -110"
2011,2012-03-26,"Nets","Jazz","-1.5 -103","-1.5 -110","-1.5 -105","-1.5 -110","-1.5 -101","-1.5 -110","-2 -105","-1 -110","-1 -110","-1.5 -110"
2011,2012-03-26,"Nuggets","Bulls","+8 -107","+7.5 -105","+8 -110","+8 -110","+8 -107","+8 -110","+7.5 -105","+8 -110","+8 -110","+8 -110"
2011,2012-03-26,"Bulls","Nuggets","-8 -103","-7.5 -115","-8 -110","-8 -110","-8 -103","-8 -110","-7.5 -115","-8 -110","-8 -110","-8 -110"
2011,2012-03-26,"Kings","Rockets","+6 -105","+6 -110","+6 -105","+6 -110","+6 -103","+6 -110","+6 -105","+6.5 -115","+6 -110","+6 -110"
2011,2012-03-26,"Rockets","Kings","-6 -105","-6 -110","-6 -115","-6 -110","-6 -107","-6 -110","-6 -115","-6.5 -105","-6 -110","-6 -110"
2011,2012-03-26,"Pelicans","Clippers","+10 +104","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -107","+10.5 -110","+10 -105","+10.5 -110","+10.5 -110","+10.5 -110"
2011,2012-03-26,"Clippers","Pelicans","-10 -115","-10.5 -110","-10.5 -110","-10.5 -110","-10.5 -103","-10.5 -110","-10 -115","-10.5 -110","-10.5 -110","-10.5 -110"
