"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2010,2010-12-17,"Nets","Raptors","+5.5 -106","+5.5 -110","+5.5 -109","+5.5 -110","+5.5 -105","+6 -110","","+6 -115","+5.5 -110","+5.5 -110"
2010,2010-12-17,"Raptors","Nets","-5.5 -104","-5.5 -110","-5.5 -109","-5.5 -110","-5.5 -105","-6 -110","","-6 -105","-5.5 -110","-5.5 -110"
2010,2010-12-17,"Heat","Knicks","-5 -101","-5 -110","-5 -109","-5 -110","-5 -101","-5 -110","","-5.5 -110","-5 -110","-5 -110"
2010,2010-12-17,"Knicks","Heat","+5 -109","+5 -110","+5 -109","+5 -110","+5 -109","+5 -110","","+5.5 -110","+5 -110","+5 -110"
2010,2010-12-17,"Cavaliers","Pacers","+9 +101","+9 -110","+9 -104","+9 -110","+9.5 -108","+9 -110","","+9.5 -115","+9 -110","+9 -110"
2010,2010-12-17,"Pacers","Cavaliers","-9 -111","-9 -110","-9 -114","-9 -110","-9.5 -102","-9 -110","","-9.5 -105","-9 -110","-9 -110"
2010,2010-12-17,"Lakers","Seventysixers","-5.5 +101","-5 -110","-5.5 -109","-5 -110","-5 -108","-5.5 -110","","-6 -105","-5.5 -110","-5.5 -110"
2010,2010-12-17,"Seventysixers","Lakers","+5.5 -111","+5 -110","+5.5 -109","+5 -110","+5 -102","+5.5 -110","","+6 -115","+5.5 -110","+5.5 -110"
2010,2010-12-17,"Clippers","Pistons","+3 -105","+3 -110","+3 -109","+3 -110","+3 -106","+3 -110","","+3.5 -115","+3 -110","+3 -110"
2010,2010-12-17,"Pistons","Clippers","-3 -105","-3 -110","-3 -109","-3 -110","-3 -104","-3 -110","","-3.5 -105","-3 -110","-3 -110"
2010,2010-12-17,"Hornets","Hawks","+6.5 +102","+7 -110","+6.5 -109","+7 -110","+7 -108","+7 -110","","+7 -110","+7 -110","+7 -110"
2010,2010-12-17,"Hawks","Hornets","-6.5 -113","-7 -110","-6.5 -109","-7 -110","-7 -102","-7 -110","","-7 -110","-7 -110","-7 -110"
2010,2010-12-17,"Kings","Thunder","+11.5 -103","+11.5 -110","+11.5 -109","+11.5 -110","+11.5 -104","+11.5 -110","","+12 -115","+11.5 -110","+11.5 -110"
2010,2010-12-17,"Thunder","Kings","-11.5 -107","-11.5 -110","-11.5 -109","-11.5 -110","-11.5 -106","-11.5 -110","","-12 -105","-11.5 -110","-11.5 -110"
2010,2010-12-17,"Jazz","Pelicans","-1 -105","-1 -110","-1 -109","-1 -110","-1 -107","-1 -110","","-2 -110","-1 -110","-1.5 -110"
2010,2010-12-17,"Pelicans","Jazz","+1 -105","+1 -110","+1 -109","+1 -110","+1 -103","+1 -110","","+2 -110","+1 -110","+1.5 -110"
2010,2010-12-17,"Grizzlies","Rockets","+2.5 -106","+2.5 -110","+2.5 -109","+2.5 -110","+2.5 -104","+2.5 -110","","+3 -115","+2.5 -110","+2.5 -110"
2010,2010-12-17,"Rockets","Grizzlies","-2.5 -104","-2.5 -110","-2.5 -109","-2.5 -110","-2.5 -106","-2.5 -110","","-3 -105","-2.5 -110","-2.5 -110"
2010,2010-12-17,"Suns","Mavericks","+7.5 -105","+7.5 -110","+7 -104","+7 -110","+7.5 -105","+7 -110","","+7.5 -110","+7 -110","+7 -110"
2010,2010-12-17,"Mavericks","Suns","-7.5 -105","-7.5 -110","-7 -114","-7 -110","-7.5 -105","-7 -110","","-7.5 -110","-7 -110","-7 -110"
2010,2010-12-17,"Timberwolves","Trailblazers","+8.5 -102","+8.5 -110","+8.5 -109","+8.5 -110","+8.5 -105","+9 -110","","+8.5 -110","+8.5 -110","+8.5 -110"
2010,2010-12-17,"Trailblazers","Timberwolves","-8.5 -108","-8.5 -110","-8.5 -109","-8.5 -110","-8.5 -105","-9 -110","","-8.5 -110","-8.5 -110","-8.5 -110"
