"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2015,2016-03-24,"Pelicans","Pacers","+14 +102","+14 -105","+14.5 -110","+14 -105","+14 -110","+14 -105","+14.5 -105","+14 -105","+14.5 -110","+14 -105"
2015,2016-03-24,"Pacers","Pelicans","-14 -113","-14 -115","-14.5 -110","-14 -115","-14 -110","-14 -115","-14.5 -105","-14 -115","-14.5 -110","-14 -115"
2015,2016-03-24,"Cavaliers","Nets","-9.5 -105","-9.5 -108","-9.5 -110","-9.5 -115","-9.5 -110","-9.5 -115","-9 -105","-9.5 -115","-9.5 -110","-9.5 -115"
2015,2016-03-24,"Nets","Cavaliers","+9.5 -105","+9.5 -112","+9.5 -110","+9.5 -105","+9.5 -110","+9.5 -105","+9 -105","+9.5 -105","+9.5 -110","+9.5 -105"
2015,2016-03-24,"Bulls","Knicks","-3.5 +100","-3.5 -105","-3.5 -110","-3.5 -110","-3.5 -110","-3.5 -110","-3.5 -105","-4 -110","-3.5 -110","-3.5 -110"
2015,2016-03-24,"Knicks","Bulls","+3.5 -110","+3.5 -115","+3.5 -110","+3.5 -110","+3.5 -110","+3.5 -110","+3.5 -105","+4 -110","+3.5 -110","+3.5 -110"
2015,2016-03-24,"Jazz","Thunder","+9.5 -105","+9.5 -113","+9.5 -110","+9.5 -110","+9.5 -110","+9.5 -110","+9.5 -105","+9.5 -110","+9.5 -110","+9.5 -110"
2015,2016-03-24,"Thunder","Jazz","-9.5 -105","-9.5 -107","-9.5 -110","-9.5 -110","-9.5 -110","-9.5 -110","-9.5 -105","-9.5 -110","-9.5 -110","-9.5 -110"
2015,2016-03-24,"Trailblazers","Clippers","+6 -105","+6 -110","+5.5 -105","+6 -105","+5.5 -110","+6 -105","+6.5 -105","+6 -115","+6 -110","+6 -105"
2015,2016-03-24,"Clippers","Trailblazers","-6 -105","-6 -110","-5.5 -115","-6 -115","-5.5 -110","-6 -115","-6.5 -105","-6 -105","-6 -110","-6 -115"
