"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2012,2013-02-02,"Bulls","Hawks","+7 -108","+7 -110","+7 -105","+7 -110","+7 -101","+7 -110","+6.5 -105","+7 -110","+7 -110","+7.5 -110"
2012,2013-02-02,"Hawks","Bulls","-7 -102","-7 -110","-7 -115","-7 -110","-7 -109","-7 -110","-6.5 -115","-7 -110","-7 -110","-7.5 -110"
2012,2013-02-02,"Kings","Knicks","+11 -105","+11 -110","+11 -110","+10.5 -110","+11 -105","+11 -110","+11 -110","+11.5 -115","+11 -110","+11 -110"
2012,2013-02-02,"Knicks","Kings","-11 -105","-11 -110","-11 -110","-10.5 -110","-11 -105","-11 -110","-11 -110","-11.5 -105","-11 -110","-11 -110"
2012,2013-02-02,"Thunder","Cavaliers","-11 -102","-11 -110","-11 -110","-11 -110","-11 -102","-11 -110","-11 -105","-11 -115","-11 -110","-11 -110"
2012,2013-02-02,"Cavaliers","Thunder","+11 -108","+11 -110","+11 -110","+11 -110","+11 -108","+11 -110","+11 -115","+11 -105","+11 -110","+11 -110"
2012,2013-02-02,"Hornets","Rockets","+12 -103","+12 -110","+12 -110","+12 -110","+12 -105","+12.5 -110","+12 -110","+12 -105","+12 -110","+12 -110"
2012,2013-02-02,"Rockets","Hornets","-12 -107","-12 -110","-12 -110","-12 -110","-12 -105","-12.5 -110","-12 -110","-12 -115","-12 -110","-12 -110"
2012,2013-02-02,"Pelicans","Timberwolves","+4 -107","+4 -110","+4 -110","+4 -110","+4 -105","+4 -110","+4 -110","+4 -110","+4 -110","+4 -110"
2012,2013-02-02,"Timberwolves","Pelicans","-4 -103","-4 -110","-4 -110","-4 -110","-4 -105","-4 -110","-4 -110","-4 -110","-4 -110","-4 -110"
2012,2013-02-02,"Magic","Bucks","+10.5 -106","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -108","+10.5 -110","+10.5 -115","+10 -105","+10.5 -110","+10.5 -110"
2012,2013-02-02,"Bucks","Magic","-10.5 -104","-10.5 -110","-10.5 -110","-10.5 -110","-10.5 -102","-10.5 -110","-10.5 -105","-10 -115","-10.5 -110","-10.5 -110"
2012,2013-02-02,"Wizards","Spurs","+12.5 -107","+12.5 -110","+12.5 -110","+12.5 -110","+12.5 -107","+12.5 -110","+12.5 -110","+12.5 -110","+12.5 -110","+12.5 -110"
2012,2013-02-02,"Spurs","Wizards","-12.5 -103","-12.5 -110","-12.5 -110","-12.5 -110","-12.5 -103","-12.5 -110","-12.5 -110","-12.5 -110","-12.5 -110","-12.5 -110"
2012,2013-02-02,"Jazz","Trailblazers","+4.5 -107","+4.5 -110","+4.5 -110","+4.5 -110","+4.5 -105","+4 -110","+4.5 -110","+4.5 -105","+4.5 -110","+4.5 -110"
2012,2013-02-02,"Trailblazers","Jazz","-4.5 -103","-4.5 -110","-4.5 -110","-4.5 -110","-4.5 -105","-4 -110","-4.5 -110","-4.5 -115","-4.5 -110","-4.5 -110"
2012,2013-02-02,"Suns","Warriors","+10.5 -113","+10.5 -110","+10.5 -110","+10.5 -110","+10.5 -108","+10.5 -110","+10.5 -110","+11 -115","+11 -110","+10.5 -110"
2012,2013-02-02,"Warriors","Suns","-10.5 +102","-10.5 -110","-10.5 -110","-10.5 -110","-10.5 -102","-10.5 -110","-10.5 -110","-11 -105","-11 -110","-10.5 -110"
