"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2011,2011-12-22,"Hornets","Hawks","+7 -103","+7 -115","","+7 -110","+7 -105","+7 -110","+7 -105","+7 -110","+7 -110",""
2011,2011-12-22,"Hawks","Hornets","-7 -107","-7 -105","","-7 -110","-7 -105","-7 -110","-7 -115","-7 -110","-7 -110",""
2011,2011-12-22,"Nuggets","Suns","+1.5 -104","+1.5 -110","","+1.5 -110","+1.5 -102","+1.5 -110","+1.5 -110","+1.5 -110","+1.5 -110",""
2011,2011-12-22,"Suns","Nuggets","-1.5 -106","-1.5 -110","","-1.5 -110","-1.5 -108","-1.5 -110","-1.5 -110","-1.5 -110","-1.5 -110",""
