"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2016,2016-11-02,"Raptors","Wizards","+1 -105","PK-105","+1 -110","+1.5 -110","+1 -110","+1.5 -110","+1 -105","-1 -105","+1 -110","+1.5 -110"
2016,2016-11-02,"Wizards","Raptors","-1 -105","PK-115","-1 -110","-1.5 -110","-1 -110","-1.5 -110","-1 -105","+1 -115","-1 -110","-1.5 -110"
2016,2016-11-02,"Seventysixers","Hornets","+13 -107","+13 -110","+13 -110","+12.5 -105","+13 -105","+13 -110","+13 -105","+13 -110","+13 -110","+12.5 -105"
2016,2016-11-02,"Hornets","Seventysixers","-13 -103","-13 -110","-13 -110","-12.5 -115","-13 -105","-13 -110","-13 -105","-13 -110","-13 -110","-12.5 -115"
2016,2016-11-02,"Rockets","Knicks","+1 -103","PK-105","+1 -110","+1 -110","+1 -105","+1 -110","+1 -105","PK-110","+1 -110","+1 -110"
2016,2016-11-02,"Knicks","Rockets","-1 -107","PK-115","-1 -110","-1 -110","-1 -105","-1 -110","-1 -105","PK-110","-1 -110","-1 -110"
2016,2016-11-02,"Lakers","Hawks","+12 -105","+12 -110","+12 -110","+12 -105","+12 -105","+12 -105","+12 -105","+12 -110","+12 -110","+12 -105"
2016,2016-11-02,"Hawks","Lakers","-12 -105","-12 -110","-12 -110","-12 -115","-12 -105","-12 -115","-12 -105","-12 -110","-12 -110","-12 -115"
2016,2016-11-02,"Pistons","Nets","-4 -101","-4 +100","-4 -110","-4 -105","-7 -110","-4 -110","-3.5 -105","-4.5 -110","-3.5 -110","-4 -105"
2016,2016-11-02,"Nets","Pistons","+4 -109","+4 -120","+4 -110","+4 -115","+7 -110","+4 -110","+3.5 -105","+4.5 -110","+3.5 -110","+4 -115"
2016,2016-11-02,"Pelicans","Grizzlies","+5 -108","+5 -115","+5 -110","+5 -115","+5 -110","+5 -115","+5 -105","+5 -110","+5 -110","+5 -115"
2016,2016-11-02,"Grizzlies","Pelicans","-5 -102","-5 -105","-5 -110","-5 -105","-5 -110","-5 -105","-5 -105","-5 -110","-5 -110","-5 -105"
2016,2016-11-02,"Bulls","Celtics","+3 +102","+3 -103","+3 -110","+3 -105","+3.5 -110","+3 -110","+3.5 -105","+3 -105","+3.5 -110","+3 -105"
2016,2016-11-02,"Celtics","Bulls","-3 -113","-3 -117","-3 -110","-3 -115","-3.5 -110","-3 -110","-3.5 -105","-3 -115","-3.5 -110","-3 -115"
2016,2016-11-02,"Mavericks","Jazz","+3.5 -108","+3.5 -115","+3.5 -110","+3 -105","+3 -110","+3 -110","+3 -105","+3 -105","+3 -110","+3 -105"
2016,2016-11-02,"Jazz","Mavericks","-3.5 -102","-3.5 -105","-3.5 -110","-3 -115","-3 -110","-3 -110","-3 -105","-3 -115","-3 -110","-3 -115"
2016,2016-11-02,"Trailblazers","Suns","-3 -105","-2.5 -108","-3 -105","-2.5 -115","-2.5 -110","-2.5 -110","-3 -105","-3 -115","-3 -110","-2.5 -115"
2016,2016-11-02,"Suns","Trailblazers","+3 -105","+2.5 -112","+3 -115","+2.5 -105","+2.5 -110","+2.5 -110","+3 -105","+3 -105","+3 -110","+2.5 -105"
2016,2016-11-02,"Thunder","Clippers","+7.5 -113","+7 -110","+7.5 -115","+7 -110","+7.5 -110","+7 -110","+7 -105","+7.5 -115","+7.5 -110","+7 -110"
2016,2016-11-02,"Clippers","Thunder","-7.5 +102","-7 -110","-7.5 -105","-7 -110","-7.5 -110","-7 -110","-7 -105","-7.5 -105","-7.5 -110","-7 -110"
