"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2013,2014-02-19,"Bulls","Raptors","+3 -106","+3.5 -114","+3 -110","+3 -105","+3 -105","+3 -110","+3 -110","+3 -105","+3 -110","+3 -110"
2013,2014-02-19,"Raptors","Bulls","-3 -104","-3.5 -106","-3 -110","-3 -115","-3 -105","-3 -110","-3 -110","-3 -115","-3 -110","-3 -110"
2013,2014-02-19,"Pistons","Hornets","+2.5 +100","+3 -110","+3 -110","+3 -110","+3 -108","+3 -110","+2.5 -110","+3 -110","+3 -110","+3 -110"
2013,2014-02-19,"Hornets","Pistons","-2.5 -110","-3 -110","-3 -110","-3 -110","-3 -102","-3 -110","-2.5 -110","-3 -110","-3 -110","-3 -110"
2013,2014-02-19,"Magic","Cavaliers","+5.5 -110","+5.5 -110","+5 -110","+5 -110","+5 -102","+5 -110","+5.5 -110","+5.5 -110","+5 -110","+5 -110"
2013,2014-02-19,"Cavaliers","Magic","-5.5 +100","-5.5 -110","-5 -110","-5 -110","-5 -108","-5 -110","-5.5 -110","-5.5 -110","-5 -110","-5 -110"
2013,2014-02-19,"Wizards","Hawks","+1 -102","+1 -110","+1 -105","+1 -110","+1 -105","+1 -110","+1 -110","+1 -110","+1 -110","+1 -110"
2013,2014-02-19,"Hawks","Wizards","-1 -108","-1 -110","-1 -115","-1 -110","-1 -105","-1 -110","-1 -110","-1 -110","-1 -110","-1 -110"
2013,2014-02-19,"Knicks","Pelicans","+4 -105","+3.5 -110","+3.5 -105","+4 -110","+3.5 -102","+3.5 -110","+3.5 -110","+3.5 -115","+3.5 -110","+4 -110"
2013,2014-02-19,"Pelicans","Knicks","-4 -105","-3.5 -110","-3.5 -115","-4 -110","-3.5 -108","-3.5 -110","-3.5 -110","-3.5 -105","-3.5 -110","-4 -110"
2013,2014-02-19,"Pacers","Timberwolves","-3 -103","-3.5 -110","-3 -110","-3 -110","-3 -107","-3.5 -110","-3 -110","-3.5 -120","-3 -110","-3 -110"
2013,2014-02-19,"Timberwolves","Pacers","+3 -107","+3.5 -110","+3 -110","+3 -110","+3 -103","+3.5 -110","+3 -110","+3.5 +100","+3 -110","+3 -110"
2013,2014-02-19,"Celtics","Suns","+5.5 -105","+5.5 +100","+5.5 -110","+5.5 -110","+5.5 -105","+6 -110","+5.5 -110","+6 -110","+5.5 -110","+5.5 -110"
2013,2014-02-19,"Suns","Celtics","-5.5 -105","-5.5 -120","-5.5 -110","-5.5 -110","-5.5 -105","-6 -110","-5.5 -110","-6 -110","-5.5 -110","-5.5 -110"
2013,2014-02-19,"Nets","Jazz","-3.5 -106","-4 -110","-4 -105","-4 -110","-4 -102","-3.5 -110","-4 -110","-4 -110","-4 -110","-4 -110"
2013,2014-02-19,"Jazz","Nets","+3.5 -104","+4 -110","+4 -115","+4 -110","+4 -108","+3.5 -110","+4 -110","+4 -110","+4 -110","+4 -110"
2013,2014-02-19,"Spurs","Trailblazers","+2.5 -104","+3 -110","+3 -110","+3 -110","+3 -108","+3 -110","+3 -110","+3 -105","+3 -110","+3 -110"
2013,2014-02-19,"Trailblazers","Spurs","-2.5 -106","-3 -110","-3 -110","-3 -110","-3 -102","-3 -110","-3 -110","-3 -115","-3 -110","-3 -110"
2013,2014-02-19,"Warriors","Kings","-5 -103","-5 -110","-5 -110","-5 -110","-5 -102","-5 -110","-5 -110","-5 -115","-5 -110","-5 -110"
2013,2014-02-19,"Kings","Warriors","+5 -107","+5 -110","+5 -110","+5 -110","+5 -108","+5 -110","+5 -110","+5 -105","+5 -110","+5 -110"
2013,2014-02-19,"Rockets","Lakers","-8.5 -110","-9 -110","-9 -110","-9 -110","-9 -110","-9 -110","-9 -110","-9 -115","-9.5 -110","-9 -110"
2013,2014-02-19,"Lakers","Rockets","+8.5 +100","+9 -110","+9 -110","+9 -110","+9 -110","+9 -110","+9 -110","+9 -105","+9.5 -110","+9 -110"
