"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2009,2009-12-26,"Hawks","Pacers","-6 -104","-6 -110","-6 -109","-6 -110","-6 -110","-6 -110","","-6.5 -110","","-6 -110"
2009,2009-12-26,"Pacers","Hawks","+6 -106","+6 -110","+6 -109","+6 -110","+6 -110","+6 -110","","+6.5 -110","","+6 -110"
2009,2009-12-26,"Grizzlies","Mavericks","+8.5 -113","+8 -110","+8.5 -109","+8.5 -110","+8.5 -110","+8.5 -110","","+8.5 -110","","+8.5 -110"
2009,2009-12-26,"Mavericks","Grizzlies","-8.5 +103","-8 -110","-8.5 -109","-8.5 -110","-8.5 -110","-8.5 -110","","-8.5 -110","","-8.5 -110"
2009,2009-12-26,"Rockets","Nets","-8.5 +105","-8 -110","-8 -109","-8 -110","-8 -110","-8.5 -110","","-8.5 -110","","-8.5 -110"
2009,2009-12-26,"Nets","Rockets","+8.5 -115","+8 -110","+8 -109","+8 -110","+8 -110","+8.5 -110","","+8.5 -110","","+8.5 -110"
2009,2009-12-26,"Pelicans","Bulls","+2 -106","+2 -110","+2 -109","+2 -110","+2 -110","+2 -110","","+2 -110","","+2 -110"
2009,2009-12-26,"Bulls","Pelicans","-2 -104","-2 -110","-2 -109","-2 -110","-2 -110","-2 -110","","-2 -110","","-2 -110"
2009,2009-12-26,"Wizards","Timberwolves","-2.5 +101","-2 -110","-2.5 -104","-2 -110","-2 -110","-2 -110","","-2.5 -110","","-2 -110"
2009,2009-12-26,"Timberwolves","Wizards","+2.5 -111","+2 -110","+2.5 -114","+2 -110","+2 -110","+2 -110","","+2.5 -110","","+2 -110"
2009,2009-12-26,"Hornets","Thunder","+6 -115","+5.5 -110","+5.5 -109","+5.5 -110","+5.5 -110","+5.5 -110","","+6 -110","","+5.5 -110"
2009,2009-12-26,"Thunder","Hornets","-6 +105","-5.5 -110","-5.5 -109","-5.5 -110","-5.5 -110","-5.5 -110","","-6 -110","","-5.5 -110"
2009,2009-12-26,"Spurs","Bucks","-2 -102","-2 -110","-2 -109","-2 -110","-2 -110","-2 -110","","-2.5 -105","","-2 -110"
2009,2009-12-26,"Bucks","Spurs","+2 -108","+2 -110","+2 -109","+2 -110","+2 -110","+2 -110","","+2.5 -115","","+2 -110"
2009,2009-12-26,"Seventysixers","Jazz","+7.5 +100","+7.5 -110","+7.5 -109","+7.5 -110","+7.5 -110","+7.5 -110","","+8 -110","","+7 -110"
2009,2009-12-26,"Jazz","Seventysixers","-7.5 -110","-7.5 -110","-7.5 -109","-7.5 -110","-7.5 -110","-7.5 -110","","-8 -110","","-7 -110"
2009,2009-12-26,"Lakers","Kings","-6 -105","-6.5 -110","-6 -109","-6 -110","-6 -110","-6 -110","","-6.5 -110","","-6 -110"
2009,2009-12-26,"Kings","Lakers","+6 -105","+6.5 -110","+6 -109","+6 -110","+6 -110","+6 -110","","+6.5 -110","","+6 -110"
2009,2009-12-26,"Suns","Warriors","-3 -105","-3.5 -110","-3 -109","-3 -110","-3 -110","-3 -110","","-4 -105","","-3 -110"
2009,2009-12-26,"Warriors","Suns","+3 -105","+3.5 -110","+3 -109","+3 -110","+3 -110","+3 -110","","+4 -115","","+3 -110"
