"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2014,2014-11-12,"Pistons","Wizards","+222","+220","+215","+230","+230","+230","+225","+230","+215","+230"
2014,2014-11-12,"Wizards","Pistons","-250","-260","-255","-275","-250","-275","-275","-270","-260","-275"
2014,2014-11-12,"Jazz","Hawks","+264","+250","+255","+264","+265","+264","+250","+260","+260","+264"
2014,2014-11-12,"Hawks","Jazz","-300","-300","-310","-324","-295","-324","-310","-320","-320","-324"
2014,2014-11-12,"Thunder","Celtics","+275","+280","+260","+270","+280","+270","+270","+265","+270","+270"
2014,2014-11-12,"Celtics","Thunder","-313","-335","-320","-330","-310","-330","-340","-330","-330","-330"
2014,2014-11-12,"Pacers","Heat","+340","+330","+320","+325","+330","+320","+325","+310","+320","+325"
2014,2014-11-12,"Heat","Pacers","-393","-400","-410","-400","-370","-400","-405","-420","-380","-400"
2014,2014-11-12,"Magic","Knicks","+235","+220","+225","+220","+230","+225","+225","+225","+215","+229"
2014,2014-11-12,"Knicks","Magic","-265","-260","-265","-265","-250","-265","-275","-265","-260","-279"
2014,2014-11-12,"Lakers","Pelicans","+534","+500","+485","+525","+540","+525","+530","","+500","+525"
2014,2014-11-12,"Pelicans","Lakers","-650","-650","-680","-700","-660","-700","-705","","-700","-700"
2014,2014-11-12,"Trailblazers","Nuggets","+125","+125","+130","+130","+130","+130","+120","","+125","+130"
2014,2014-11-12,"Nuggets","Trailblazers","-138","-145","-150","-150","-140","-150","-140","","-145","-150"
2014,2014-11-12,"Nets","Suns","+169","+170","+165","+160","+170","+160","+170","+165","+165","+160"
2014,2014-11-12,"Suns","Nets","-188","-195","-190","-185","-185","-190","-195","-190","-190","-185"
2014,2014-11-12,"Rockets","Timberwolves","-290","-285","-275","-310","-280","-310","-285","-320","-290","-310"
2014,2014-11-12,"Timberwolves","Rockets","+256","+240","+235","+255","+240","+255","+235","+260","+235","+255"
