"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2010,2010-10-06,"Knicks","Timberwolves","","","","","-175","","","","",""
2010,2010-10-06,"Timberwolves","Knicks","","","","","+155","","","","",""
2010,2010-10-06,"Thunder","Hornets","","","","","-170","","","","",""
2010,2010-10-06,"Hornets","Thunder","","","","","+150","","","","",""
2010,2010-10-06,"Seventysixers","Celtics","","","","","+250","","","","",""
2010,2010-10-06,"Celtics","Seventysixers","","","","","-300","","","","",""
2010,2010-10-06,"Pacers","Grizzlies","","","","","+175","","","","",""
2010,2010-10-06,"Grizzlies","Pacers","","","","","-210","","","","",""
2010,2010-10-06,"Raptors","Suns","","","","","+175","","","","",""
2010,2010-10-06,"Suns","Raptors","","","","","-210","","","","",""
