"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2011,2012-04-04,"Pacers","Wizards","-234","-245","-240","-250","-240","-250","-245","-240","-240","-245"
2011,2012-04-04,"Wizards","Pacers","+209","+205","+200","+210","+200","+210","+195","+200","+200","+205"
2011,2012-04-04,"Raptors","Seventysixers","+358","+350","+330","+370","+360","+370","+345","+325","+340","+350"
2011,2012-04-04,"Seventysixers","Raptors","-415","-425","-420","-450","-405","-460","-435","-450","-430","-430"
2011,2012-04-04,"Spurs","Celtics","-103","-115","-120","-105","-104","-105","-110","","-115","-115"
2011,2012-04-04,"Celtics","Spurs","-107","-105","+100","-115","-106","-115","-110","","-105","-105"
2011,2012-04-04,"Hornets","Hawks","+1000","+970","+775","+950","+1000","+950","+890","","+955","+950"
2011,2012-04-04,"Hawks","Hornets","-1425","-1400","-1499","-1500","-1200","-1500","-1340","","-1500","-1500"
2011,2012-04-04,"Thunder","Heat","+138","+130","+130","+140","+135","+130","+140","","+130","+135"
2011,2012-04-04,"Heat","Thunder","-153","-150","-150","-160","-145","-150","-160","","-150","-155"
2011,2012-04-04,"Nuggets","Pelicans","-185","-190","-200","-200","-185","-200","-195","-210","-200","-200"
2011,2012-04-04,"Pelicans","Nuggets","+166","+165","+170","+170","+170","+170","+170","+175","+175","+170"
2011,2012-04-04,"Warriors","Timberwolves","+222","+220","+220","+240","+210","+240","+195","+225","+210","+235"
2011,2012-04-04,"Timberwolves","Warriors","-250","-260","-260","-290","-230","-290","-245","-265","-250","-275"
2011,2012-04-04,"Cavaliers","Bucks","+925","+900","+750","+900","+900","+900","+825","","+860","+900"
2011,2012-04-04,"Bucks","Cavaliers","-1300","-1300","-1401","-1400","-1100","-1400","-1275","","-1300","-1400"
2011,2012-04-04,"Grizzlies","Mavericks","+230","+220","+205","+220","+210","+220","+200","+210","+200","+200"
2011,2012-04-04,"Mavericks","Grizzlies","-259","-260","-245","-260","-230","-260","-250","-250","-240","-240"
2011,2012-04-04,"Suns","Jazz","+218","+210","+200","+215","+215","+215","+200","+215","+210","+210"
2011,2012-04-04,"Jazz","Suns","-245","-250","-240","-255","-235","-255","-250","-255","-250","-250"
2011,2012-04-04,"Nets","Trailblazers","+408","+390","+375","+400","+400","+400","+390","+400","+400","+390"
2011,2012-04-04,"Trailblazers","Nets","-480","-475","-500","-500","-450","-500","-490","-600","-500","-480"
2011,2012-04-04,"Lakers","Clippers","+134","+130","+130","+130","+135","+130","+120","+135","+130","+130"
2011,2012-04-04,"Clippers","Lakers","-148","-150","-150","-150","-145","-150","-140","-155","-150","-150"
