"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2012,2012-12-16,"Rockets","Raptors","-175","-180","-175","-190","-175","-190","-180","-175","-170","-180"
2012,2012-12-16,"Raptors","Rockets","+158","+160","+155","+160","+165","+160","+160","+155","+150","+160"
2012,2012-12-16,"Nuggets","Kings","-172","-175","-190","-190","-175","-190","-175","-190","-185","-185"
2012,2012-12-16,"Kings","Nuggets","+155","+155","+165","+160","+155","+160","+155","+165","+165","+165"
2012,2012-12-16,"Lakers","Seventysixers","-172","-175","-165","-165","-170","-165","-175","-165","-165","-170"
2012,2012-12-16,"Seventysixers","Lakers","+155","+155","+145","+145","+160","+145","+155","+145","+145","+150"
2012,2012-12-16,"Pelicans","Trailblazers","+184","+195","+190","+190","+185","+190","+185","+190","+185","+190"
2012,2012-12-16,"Trailblazers","Pelicans","-205","-225","-230","-230","-200","-230","-215","-230","-220","-230"
