"season","date","team","o_team","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
2014,2015-01-17,"Pacers","Hornets","-128","-135","-140","-142","-130","-135","-140","","-130","-140"
2014,2015-01-17,"Hornets","Pacers","+116","+115","+120","+122","+120","+115","+120","","+110","+120"
2014,2015-01-17,"Seventysixers","Pistons","+900","+825","+725","+850","+900","+900","+840","","+800","+900"
2014,2015-01-17,"Pistons","Seventysixers","-1235","-1200","-1300","-1350","-1100","-1400","-1190","","-1200","-1400"
2014,2015-01-17,"Hawks","Bulls","-157","-160","-160","-160","-150","-160","-155","-145","-160","-145"
2014,2015-01-17,"Bulls","Hawks","+142","+140","+140","+135","+140","+135","+135","+125","+140","+123"
2014,2015-01-17,"Wizards","Nets","-230","-225","-220","-230","-230","-240","-235","-250","-220","-240"
2014,2015-01-17,"Nets","Wizards","+205","+195","+180","+195","+210","+200","+200","+210","+185","+200"
2014,2015-01-17,"Warriors","Rockets","+112","+105","+110","+110","+110","+110","+105","","+110","+110"
2014,2015-01-17,"Rockets","Warriors","-124","-125","-130","-130","-130","-130","-125","","-130","-130"
2014,2015-01-17,"Timberwolves","Nuggets","+638","+625","+575","+650","+600","+550","+580","","+600","+550"
2014,2015-01-17,"Nuggets","Timberwolves","-800","-825","-850","-950","-750","-800","-780","","-800","-750"
2014,2015-01-17,"Trailblazers","Grizzlies","+123","+120","+120","+115","+130","+120","+125","+130","+115","+120"
2014,2015-01-17,"Grizzlies","Trailblazers","-136","-140","-140","-135","-140","-140","-145","-150","-135","-140"
2014,2015-01-17,"Clippers","Kings","-555","-500","-550","-430","-540","-550","-550","-600","-550","-550"
2014,2015-01-17,"Kings","Clippers","+465","+405","+410","+345","+460","+425","+425","+400","+445","+430"
